Sample ID	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00069	ST00070	ST00075	ST00076	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00086	ST00088	ST00091	ST00092	ST00093	ST00094	ST00095	ST00100	ST00101	ST00103	ST00105	ST00109	ST00110	ST00111	ST00112	ST00116	ST00123	ST00124	ST00127	ST00131	ST00132	ST00136	ST00138	ST00139	ST00141	ST00142	ST00143	ST00146	ST00150	ST00151	ST00152	ST00159	ST00161	ST00162	ST00163	ST00166	ST00167	ST00172	ST00178	ST00183	ST00184	ST00193	ST00194	ST00205	ST00207	ST00222	ST00223	ST00226	ST00227	ST00228	ST00231	ST00232	ST00234	ST00243	ST00248	ST00253	ST00259	ST00266	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00411	ST00412	ST00420	ST00425	ST00465	ST00480	SW00001	SW00002	SW00003	SW00004	SW00005	SW00006	SW00007	SW00009	SW00010	SW00011	SW00012	SW00013	SW00014	SW00017	SW00018	SW00019	SW00020	SW00021	SW00022	SW00023	SW00024A	SW00024B	SW00025	SW00026	SW00027	SW00028	SW00029	SW00030	SW00031	SW00032	SW00033	SW00035	SW00036	SW00038	SW00039	SW00040	SW00041	SW00042	SW00043	SW00044	SW00045	SW00046	SW00047	SW00048	SW00049	SW00050	SW00051	SW00052	SW00053	SW00054	SW00055	SW00056	SW00057	SW00060	SW00061	SW00062	SW00063	SW00064	SW00065	SW00066	SW00067	SW00068	SW00069	SW00070	SW00072	SW00073	SW00074	SW00075	SW00076	SW00078	SW00079	SW00082	SW00085	SW00086	SW00087	SW00089	SW00091	SW00093	SW00094	SW00095	SW00097	SW00098	SW00099	SW00101	SW00103	SW00105	SW00108	SW00110	SW00120	SW00123	SW00124	SW00131	SW00133	SW00137	SW00142	SW00144	SW00147	SW00153	SW00155	SW00156	SW00159	SW00168	SW00169	SW00173	SW00174	SW00177	SW00179	SW00240	SW00243	SW00244	SW00247	SW00248	SW00250	SW00259	SW00262	SW00265	SW00268	SW00288	SW00302
Pasteurellales	0	0	33	0	0	0	0	0	0	0	0	0	15	0	0	109	0	0	561	0	0	50	2	0	3	34	0	57	2	11	0	10	1	0	0	2	0	35	42	284	0	0	0	30	0	32	0	24	0	0	32	0	2	0	444	0	0	4	1	0	0	0	2	8	2	2	6	125	0	0	5	19	0	0	0	0	0	2	7	2	0	0	8	298	0	8	8	0	0	0	3	0	0	0	0	60	0	4	18	0	8	18	0	0	1	9	0	0	0	0	43	0	0	0	1	0	8	0	5	7	11	3	3	0	0	0	52	0	0	0	47	0	72	19	1	1	1	0	0	0	0	1	1	0	18	2	0	0	598	10	0	0	47	23	8	0	14	0	6	2	0	204	3	6	0	0	0	0	0	6	14	0	0	0	130	250	106	0	0	0	6	0	0	24	1	0	20	0	0	2	4	848	0	0	4	6	4	10	0	0	4	0	0	1	3	7	0	0	6	6	2	0	6	2	0	34	0	4	25	0	14	0	0	7	0	32	0	6	0	0	0	0	0	0	0	0	3	1	0	2
Pseudomonadales	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	2	0	0	0	0	0	0	0	0	14	6	0	0	0	3	0	9	0	5	0	8	2	2	2	0	0	0	1	2	0	0	2	1	10	0	3	0	7	0	0	0	0	0	11	0	0	0	17	0	2	0	3	69	1	0	0	20	10	4	0	157	1	0	132	62	0	14	27	0	0	10	0	203	3	4	0	9	1	28	58	0	4	11	0	2	11	0	298	39	838	4	4	0	0	10	4	112	0	0	14	2	60	14	8	170	34	302	1	4	68	1	8	86	18	29	488	1	124	0	4	7	54	3	54	45	0	0	38	0	251	4	1	17	4	52	78	18	0	70	0	336	0	167	6	6	0	0	0	21	208	0	42	112	20	6	0	2	7	6	1	5	0	5	12	5	11
Puniceicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Rhizobiales	0	10	3	3	4	1	0	3	11	1	2	59	0	9	84	13	6	0	19	0	0	1	2	5	3	0	6	48	16	7	9	7	14	2	3	65	49	0	3	1	62	10	14	243	96	26	54	4	288	20	90	18	18	12	14	2	5	22	108	7	6	0	4	203	236	1	36	8	2	2	5	6	14	0	184	0	2	34	11	48	85	6	0	255	30	82	27	0	45	4	4	315	92	3	53	30	0	19	172	0	0	78	19	6	72	11	0	12	2	0	3	14	0	8	531	0	129	3	2	3	1	2	3	30	4	3	11	158	11	0	2	1	7	0	19	2	3	17	7	1	15	10	90	0	0	1	16	0	5	0	231	0	3	13	0	0	6	18	1	10	2	244	11	80	0	4	16	6	34	2	68	433	1	36	16	18	22	8	4	8	44	1	74	87	6	0	56	728	2	42	2	54	58	46	5	6	272	2	1	0	572	9	0	8	104	168	13	16	0	144	172	0	2	17	38	6	2	18	4	4	110	50	18	15	2	220	28	80	0	6	0	0	6	517	0	7	0	1	0	0
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodocyclales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonadales	307	592	9366	674	4595	1048	4344	470	8	792	2545	817	5012	1299	76	8552	237	616	2025	21	0	748	906	835	8492	9633	1112	5718	324	1553	329	6017	1283	2467	824	295	1592	1300	3255	1331	5546	12830	13772	54894	1223	2818	7218	6462	2530	504	3506	2434	898	258	27036	23590	11	550	493	109	910	3951	2820	9656	724	31	696	838	3591	1227	4692	4021	238	2324	22720	4256	4847	2584	250	3084	1440	1825	2381	8991	7320	6954	10178	17712	5879	2717	4572	3286	650	1915	50316	51053	4362	22130	20133	310	1176	1281	10593	5440	3836	5177	12526	224	7338	548	2688	4777	4	2814	3045	464	53133	436	2385	99	254	904	2448	1017	767	1746	616	191	2339	4	1530	1355	2549	3323	5039	1236	4023	519	889	561	775	2600	432	118	1916	822	832	991	8752	274	205	26	1101	149	450	772	1470	144	2118	1299	156	8232	48	2360	420	15324	298	1010	673	12077	3032	866	326	2358	991	16900	58447	1268	178	30	2124	10	15730	1896	66	1834	346	3802	645	434	486	3616	774	3992	1341	11660	4496	1480	2185	3830	6012	179	1034	1573	2528	2178	1658	466	4720	4688	11384	2566	8934	473	2150	1642	929	748	1014	4384	2118	3283	433	2436	1246	7644	1056	4718	146	1592	390	593	38648	1324	666	1914	2030	4150	386	424
Sphingobacteriales	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	32	0	2	0	2	0	0	0	0	0	0	0	6	0	0	0	2	0	2	0	0	0	0	2	2372	0	2	1	2	0	0	0	4	0	8	0	8	0	0	8	0	1	1	2	8	0	0	6	1	0	2	0	1	0	0	2	2	0	4	0	0	0	4	4	2	2	0	0	5	0	2	9	0	0	0	0	7	12	0	57	4	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	0	3	2	0	0	2	0	0	3	0	15	0	0	0	0	0	0	1	0	0	0	0	0	1	0	12	5	40	0	14	0	0	0	0	0	2520	0	4	0	0	0	2	10	0	10	0	2	8	0	0	8	4	5	16	0	2	0	2	0	0	0	6	10	0	332	0	0	20	0	2	0	0	0	10	0	0	6	0	8	0	8	0	0	0	0	0	1	29	2	6	568	0	1	0	0	0	0	0	1	0	1	0	0	10
Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	2	4	2	0	0	0	0	0	0	14	0	8	2	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	2	0	0	20	0	0	0	0	6	4	0	0	0	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0	2	0	18	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	2	0	8	0	32	0	6	0	0	0	0	2	2	0	0	0	6	4	0	6	20	6	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	12	0	0	14	0	14	2	1	0	0	2	0	0	0	1	0	2	4	14	0	0	0	0	4	0	0	0	0	0	0	0
