ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	SW00022	SW00064	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00032	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	SW00023	SW00041	SW00288	SW00027	SW00131	ST00009	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	SW00098	ST00047	SW00040	SW00076	SW00025	ST00232	SW00039	ST00095	ST00018	SW00142
Caulobacterales	0	0	0	0	0	0	0	0	0	2	5	0	0	2	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Clostridiales	4974	4873	4794	2331	4433	5556	3366	3594	4732	3035	3120	2808	4286	2507	4049	6443	4191	1540	4416	4292	3945	4878	5485	5324	4626	2826	3969	4671	5122	3925	2527	3583	5117	6493	4974	5051	4900	3578	3636	2735	4735	5313	2936	5624	6588	5042	4695	3883	5598	6285	5727	6898	5031	4305	4293	2991	4575	7530	3048	4581	4677	4383	7333	6775	7300	2543	6517	4772	5459	6786	6090	4083	5175	6691	3594	6716	5012	4519	5028	6520	3843	6386	2920	5988	7063	8220	5123	7281	6935	6099	6721	3875	2889	5802	6657	5751	4605	7657	4625	4189	5207	3408	6398	6761	5222	5617	5708	5342	6521	5088	5402	6544	5552	5154	6524	3428	3618	5121	4209	5755	4292	5701	5279	3971	3805	3487	6828	5244	6187	2998	4295	5286	3914	6531	1735	3317	8671	6199	6325	6757	4916	5332	4276	5902	3866	5649	6724	4139	1139	4857	5806	4516	3058	2027	4987	7258	4494	2983	6595	4241	5010	5911	2853	5134	6935	6201	3792	6215	6383	4543	2622	2932	4722	1615	2176	3153	3799	4786	2204	3185	4639	5485	3047	2710	2675	5089	3231	3507	4012	2967	3763	4696	2589	4705	3725	4290	4855	2914	2810	2938	4179	7536	3088	5781	4526	5967	3552	4709	4978	6556	3416	3707	5410	3869	1616	5026	5132	6255	7304	5156	2836
Coriobacteriales	49	11	30	24	38	15	26	10	14	21	25	14	24	102	27	10	35	19	31	39	53	26	20	187	4	87	19	44	43	48	26	37	9	22	4	47	3	19	23	69	24	32	11	7	124	68	5	42	77	23	49	16	0	20	17	7	54	0	41	70	22	66	220	115	19	11	19	16	57	10	352	21	711	113	16	31	6	33	29	15	67	35	56	114	14	90	13	76	1000	170	66	7	3	30	45	12	62	17	9	56	12	39	26	60	95	36	20	11	125	11	152	49	51	89	58	21	7	9	71	17	32	52	24	81	74	24	14	84	156	22	12	91	19	29	397	20	294	217	57	31	38	19	17	47	23	10	41	43	3	36	100	36	25	40	11	240	10	4	26	61	36	58	33	67	106	13	50	32	181	40	1	13	12	0	109	23	4	20	17	32	5	3	12	17	21	22	90	44	58	20	296	41	8	22	8	15	24	19	40	34	10	7	66	25	9	12	17	33	395	110	44	31	125	9	10	16	111	32	24	64	27
CW040	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacterales	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrionales	37	23	32	15	59	14	23	2	22	19	5	10	3	0	48	1	54	0	0	0	35	4	0	42	3	19	15	29	54	1	27	0	0	23	28	2	17	3	14	11	0	13	62	0	9	10	0	0	18	4	45	4	1	0	40	0	8	6	15	17	0	22	8	52	5	64	0	0	251	29	103	21	31	0	56	0	0	20	19	14	1	0	0	9	124	17	2	7	5	28	12	0	6	15	3	11	2	1	12	1	5	48	15	13	14	16	10	34	10	33	0	61	10	28	35	22	64	16	2	25	22	26	0	0	17	0	13	16	2	0	9	115	26	89	41	12	1	4	37	19	27	9	7	23	0	0	16	17	3	19	15	119	18	13	34	68	10	30	24	78	1	18	33	7	102	31	3	5	14	20	7	0	2	0	0	104	68	23	42	10	25	2	26	3	99	0	14	5	2	69	22	20	0	0	0	16	24	0	37	0	2	1	17	0	0	50	20	16	5	23	14	17	0	28	17	14	1	1	26	6	30
Enterobacteriales	1	2	3	24	5	23	24	10	0	12	75	421	1	9	335	2	84	5	136	114	172	37	0	0	2	81	11	84	0	0	67	0	0	0	51	0	0	41	0	12	0	2	0	0	3	1	0	333	7	0	0	2	0	1	11	3	0	0	2	4	52	0	20	11	0	0	0	1	0	0	0	0	2	1	8	0	1	511	1	67	0	4	0	11	159	31	1	0	0	2	0	0	35	0	0	11	14	2	0	1	0	31	11	0	0	9	0	2	0	0	3	0	1	8	0	1	4	0	0	0	80	158	1	8	0	2	0	0	0	366	9	5	7	55	66	5	0	2	14	4	1	4	76	1	72	13	0	21	31	78	0	3	2	1305	7	3	8	1	24	0	2	0	8	2	0	0	20	1	0	57	4	1400	46	0	47	2	0	78	0	8	1	294	1	53	1037	5	96	26	0	1275	21	49	0	1	83	26	61	20	4	56	12	0	38	128	361	8	10	0	1	7	6	57	1	9	155	245	5	3	3	0	116
Erysipelotrichales	22	190	53	992	263	70	36	101	216	47	56	131	720	109	59	58	132	6	263	48	134	72	114	670	113	99	95	290	175	6	38	115	1236	18	32	302	10	50	712	24	126	25	36	76	155	90	664	214	43	62	127	32	38	141	48	9	39	0	482	160	111	300	140	543	104	296	63	96	23	62	58	161	1128	285	67	138	147	72	15	59	122	10	42	46	13	92	146	64	92	52	106	32	111	120	161	686	73	82	462	14	273	13	76	168	193	188	213	17	210	7	103	274	197	468	215	88	29	175	124	116	69	36	65	35	189	63	70	599	642	177	110	221	32	29	58	93	388	67	103	103	36	61	137	155	124	118	210	95	77	126	184	361	64	101	192	73	68	17	38	165	18	58	180	19	152	25	41	431	382	574	938	124	49	77	4	32	75	575	15	48	120	131	182	28	93	55	56	34	251	17	364	169	12	308	138	120	82	12	107	282	102	142	12	420	249	78	243	139	166	60	98	52	867	137	98	805	9	394	26	651	47
Flavobacteriales	0	0	0	1	0	0	0	0	0	3	8	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	4	0	8	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Fusobacteriales	0	0	1	1379	3	2	0	0	1	4	1	3	0	0	2	0	30	0	1	0	103	3	0	0	0	17	1	5	0	2	14	0	0	0	0	0	0	912	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	1	0	1	0	0	0	1	0	72	0	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	6	0	1	0	0	57	0	1	2	0	0	1	0	0	1	0	1	7	2	0	0	0	0	56	16	0	0	0	0	0	0	0	0	3	0	0	0	0	1	42	1	0	2	2	0	0	0	0	0	0	1	1	0	2	55	0	0	44	0	0	2	1	0	0	18	0	2	82	7	405	0	0	0	1	0	0	0	2646	40	0	1	0	98	1	1	0	142	0	0	1500	29	3	0	0	0	0	0	1	0	2	0	0	0	0	2	419	1	12	0	173	0	0	0	0	0	0	856	16	1	0	0	0	1	111
