Taxa	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Salmonella	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	10	0	0	11	5	17	2	0	0	0	0	1	0	0	1	13	0	1	0	3	3	84	5	0	0	3	0	2	0	0	2	0	2	2	0	0	0	0	0	8	0	1	0	0	0	0	2	3	1	0	0	0	0	2	0	2	28	0	5	1	8	0	27	6	1	100	0	6	0	0	1	2	101	0	4	29	20	2	0	0	1	59	0	0	0	1	0	32	1	0	0	0	1	0	0	27	3	9	0	1	0	52	0	1	0	0	1	0	3	1	9	139	3	1	29	0	9	11	20	1	15	0	0	3	0
Zunongwangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	0	0
Thermosipho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	2	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	2	1	0	0	0	2	2	1	0	0	0	0	0	5	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	2	0	2	1	0	0	0	1	1	1	0	0	0	0
Sulfobacillus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Syntrophobotulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	1	1	1	0	0	3	0	1	2	0	4	0	0	1	0	0	0	0	5	0	4	0	1	1	1	3	3	1	1	2	3	0	1	1	2	1	0	1	1	0	0	0	0	1	0	3	0	0	1	0	0	0	0	4	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	3	1	0	2	0	0	0	0	1	0	1	0	0	0
Desulfotomaculum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	2	1	1	0	0	2	1	6	0	0	1	2	0	0	3	1	0	0	7	1	2	1	3	0	4	1	4	0	0	0	5	1	2	2	3	0	2	0	0	5	1	0	1	1	2	7	1	5	2	0	5	1	3	8	0	0	1	1	1	7	8	0	9	12	10	1	9	9	0	1	2	9	12	1	13	4	6	10	6	1	7	1	0	0	2	0	3	9	0	3	2	2	1	1	2	0	8	0	1	1	0	4	1	0	1	0	1	0	0	6	8	5	0	2	3	0	2	5	0	6	6	1	0	2	0
Elusimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoclostridium	0	0	0	0	0	0	12	0	0	1	1	0	0	0	1	0	1060	135	2219	136	45	117	34	55	231	188	10	144	171	378	103	34	245	51	11	645	222	71	158	72	44	0	292	32	140	114	39	155	158	89	70	174	333	90	124	24	195	301	289	168	50	124	141	540	104	200	182	169	696	175	99	410	96	125	107	104	88	234	169	41	683	652	491	73	798	437	131	96	168	476	677	20	629	117	132	519	110	57	425	22	121	3	30	178	267	420	245	141	169	35	85	99	59	145	210	713	71	74	60	276	119	8	122	0	99	16	22	250	326	291	24	85	324	17	30	465	12	261	450	463	57	84	10
Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	3	3	2	0	0	2	2	4	0	2	1	0	1	3	1	1	0	0	0	1	1	1	0	2	0	2	0	1	3	3	3	7	0	1	6	0	4	0	5	2	4	3	0	2	3	3	1	1	6	0	0	1	0	0	0	1	0	4	4	8	2	10	6	2	2	1	2	9	0	5	2	2	7	1	0	5	0	1	1	0	6	1	1	6	1	1	0	4	0	3	16	2	0	2	0	0	5	0	0	0	0	0	0	0	3	5	5	0	1	10	0	3	3	0	6	4	5	1	2	1
