ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	SW00022	SW00064	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00032	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	SW00023	SW00041	SW00288	SW00027	SW00131	ST00009	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	SW00098	ST00047	SW00040	SW00076	SW00025	ST00232	SW00039	ST00095	ST00018	SW00142
Coriobacteriia	49	11	30	24	38	15	26	10	14	21	25	14	24	102	27	10	35	19	31	39	53	26	20	187	4	87	19	44	43	48	26	37	9	22	4	47	3	19	23	69	24	32	11	7	124	68	5	42	77	23	49	16	0	20	17	7	54	0	41	70	22	66	220	115	19	11	19	16	57	10	352	21	711	113	16	31	6	33	29	15	67	35	56	114	14	90	13	76	1000	170	66	7	3	30	45	12	62	17	9	56	12	39	26	60	95	36	20	11	125	11	152	49	51	89	58	21	7	9	71	17	32	52	24	81	74	24	14	84	156	22	12	91	19	29	397	20	294	217	57	31	38	19	17	47	23	10	41	43	3	36	100	36	25	40	11	240	10	4	26	61	36	58	33	67	106	13	50	32	181	40	1	13	12	0	109	23	4	20	17	32	5	3	12	17	21	22	90	44	58	20	296	41	8	22	8	15	24	19	40	34	10	7	66	25	9	12	17	33	395	110	44	31	125	9	10	16	111	32	24	64	27
Deferribacteres	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococci	0	2	0	12	0	4	24	1	12	91	87	59	36	82	36	5	0	0	4	12	1	41	17	9	17	40	15	9	1	0	166	0	0	0	1	0	0	0	0	149	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	53	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	0	0	1	0	7	8	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	1	34	5	1	0	5	0	1	0	0	0	0	0	0	3	0	75	0	1	0	0	0	0	0	0	5	0	1	0	108	2	0	0	0	1	2	0	2	0	7	5	0	0	0	1	0	3	0	2	0	0	7	0	0	1	0	13	0	1	0	1	4	1	0	64	25	15	1	28	0	52	0	0	0	10	13	1	1	0	0	2	9	0	0	12	11	0	53	0	0	4	0	0	0	20	129	1	1	8	0	1	2
Deltaproteobacteria	37	23	32	15	59	14	23	2	22	19	5	10	3	0	48	1	54	0	0	0	35	4	0	42	3	19	15	29	54	1	27	0	0	23	28	2	17	3	14	11	0	13	62	0	9	10	0	0	18	4	45	4	1	0	40	0	8	6	15	17	0	22	8	52	5	64	0	0	251	29	103	21	31	0	56	0	0	20	19	14	1	0	0	9	124	17	2	7	5	28	12	0	6	15	3	11	2	1	12	1	5	48	15	13	14	16	10	34	10	33	0	61	10	28	35	22	64	16	2	25	22	26	0	0	17	0	13	16	2	0	9	115	26	89	41	12	1	4	37	19	27	9	7	23	0	0	16	17	3	19	15	119	18	13	34	68	10	30	24	78	1	18	33	7	102	31	3	5	14	20	7	0	2	0	0	104	68	23	42	10	25	2	26	3	99	0	14	5	2	69	22	20	0	0	0	16	24	0	37	0	2	1	17	0	0	50	20	16	5	23	14	17	0	28	17	14	1	1	26	6	30
Epsilonproteobacteria	0	19	2	0	1	2	114	0	0	5	17	5	34	0	1	61	10	0	1	28	3	15	0	0	0	2	250	14	0	0	0	0	0	0	2	0	0	0	0	0	324	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	97	0	0	9	0	58	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0	0	0	11	0	7	9	0	0	0	0	23	0	0	4	0	0	0	0	0	105	0	0	0	0	0	41	0	0	0	32	0	0	0	1	39	0	0	0	45	0	0	0	0	1	0	0	53	13	24	0	2	0	21	45	0	0	0	0	0	0	0	0	3	0	21	0	0	0	1	0	0	1	0	0	82	0	111	0	359	1	1	0	14	29	44	0	82	0	3	0	0	0	0	0	1	9	0	0	0	1	1	0	2	0	0	20	0	0	0	3	0	0	114	4	58	0	48	0	0	220
Erysipelotrichi	22	190	53	992	263	70	36	101	216	47	56	131	720	109	59	58	132	6	263	48	134	72	114	670	113	99	95	290	175	6	38	115	1236	18	32	302	10	50	712	24	126	25	36	76	155	90	664	214	43	62	127	32	38	141	48	9	39	0	482	160	111	300	140	543	104	296	63	96	23	62	58	161	1128	285	67	138	147	72	15	59	122	10	42	46	13	92	146	64	92	52	106	32	111	120	161	686	73	82	462	14	273	13	76	168	193	188	213	17	210	7	103	274	197	468	215	88	29	175	124	116	69	36	65	35	189	63	70	599	642	177	110	221	32	29	58	93	388	67	103	103	36	61	137	155	124	118	210	95	77	126	184	361	64	101	192	73	68	17	38	165	18	58	180	19	152	25	41	431	382	574	938	124	49	77	4	32	75	575	15	48	120	131	182	28	93	55	56	34	251	17	364	169	12	308	138	120	82	12	107	282	102	142	12	420	249	78	243	139	166	60	98	52	867	137	98	805	9	394	26	651	47
Flavobacteriia	0	0	0	1	0	0	0	0	0	3	8	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	4	0	8	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Fusobacteriia	0	0	1	1379	3	2	0	0	1	4	1	3	0	0	2	0	30	0	1	0	103	3	0	0	0	17	1	5	0	2	14	0	0	0	0	0	0	912	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	1	0	1	0	0	0	1	0	72	0	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	6	0	1	0	0	57	0	1	2	0	0	1	0	0	1	0	1	7	2	0	0	0	0	56	16	0	0	0	0	0	0	0	0	3	0	0	0	0	1	42	1	0	2	2	0	0	0	0	0	0	1	1	0	2	55	0	0	44	0	0	2	1	0	0	18	0	2	82	7	405	0	0	0	1	0	0	0	2646	40	0	1	0	98	1	1	0	142	0	0	1500	29	3	0	0	0	0	0	1	0	2	0	0	0	0	2	419	1	12	0	173	0	0	0	0	0	0	856	16	1	0	0	0	1	111
Gammaproteobacteria	1	2	3	28	6	25	29	11	0	32	93	431	11	24	348	3	85	5	136	116	173	45	6	0	11	93	11	92	0	121	116	0	0	2	62	2	0	45	0	30	0	81	0	0	3	2	0	334	9	1	0	2	0	1	64	1515	38	0	4	6	52	0	20	12	1	0	0	6	2	0	2	19	2	1	8	0	3	512	3	75	15	60	0	13	930	31	1	0	0	16	0	0	36	1	0	12	14	7	0	1	0	32	11	0	4	11	0	2	0	3	5	0	1	8	0	1	4	2	0	1	93	174	2	8	0	2	1	0	2	366	11	5	7	55	66	27	1	4	21	6	22	4	77	2	74	13	2	21	75	78	0	3	2	1305	7	3	14	1	26	1	42	0	27	8	0	1	114	2	80	59	8	1438	46	1	277	2	6	78	0	8	1	295	2	88	1072	26	96	33	1	1822	21	50	173	2	90	30	83	20	4	56	15	0	41	140	373	9	21	0	1	9	79	57	1	12	193	245	553	3	4	0	127
Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
