ST00070	SW00012	SW00053	SW00097	ST00069	SW00177	SW00017	SW00049	SW00046	SW00169	SW00099	SW00047	SW00066	SW00144	SW00075	SW00174	SW00062	ST00045	SW00179	SW00105	SW00014	SW00054	SW00093	ST00054	SW00120	SW00091	SW00024A	SW00011	ST00150	ST00172	SW00036	ST00141	ST00193	ST00100	SW00072	ST00065	SW00262	ST00050	ST00060	SW00020	SW00085	ST00067	ST00059	ST00205	SW00055	ST00162	ST00151	SW00001	ST00132	ST00143	ST00051	ST00062	ST00005	SW00124	ST00105	ST00044	SW00030	ST00138	ST00101	ST00183	ST00001	SW00248	ST00234	ST00076	SW00052	ST00030	ST00226	ST00223	ST00383	SW00265	ST00420	SW00035	ST00057	ST00253	SW00042	ST00178	SW00063	SW00123	ST00412	ST00228	ST00028	SW00101	ST00184	ST00023	ST00167	ST00116	ST00082	ST00411	ST00379	ST00092	ST00063	ST00243	SW00247	SW00002	SW00095	ST00163	ST00465	SW00069	ST00112	ST00093	SW00070	ST00046	SW00074	SW00043	ST00053	SW00013	SW00009	SW00243	ST00021	ST00382	ST00248	SW00024B	ST00166	SW00004	SW00003	ST00110	ST00081	ST00085	ST00227	SW00173	SW00086	SW00045	SW00061	SW00250	SW00019	SW00018	ST00387	SW00103	ST00094	ST00124	ST00266	SW00029	ST00003	ST00194	SW00007	ST00142	SW00137	ST00146	ST00386	ST00075	ST00231	SW00156	ST00161	ST00152	ST00480	ST00088	SW00108	SW00082	ST00056	ST00084	SW00022	SW00064	SW00051	SW00005	ST00026	ST00086	ST00019	SW00087	SW00068	ST00027	SW00153	ST00008	SW00038	SW00032	ST00017	SW00067	SW00259	SW00159	ST00083	ST00041	ST00078	ST00077	SW00244	ST00031	ST00139	ST00035	SW00302	SW00073	ST00207	SW00155	SW00240	ST00159	SW00026	ST00064	SW00056	ST00131	SW00094	SW00268	SW00048	ST00425	SW00028	SW00079	ST00259	SW00023	SW00041	SW00288	SW00027	SW00131	SW00044	SW00031	ST00009	SW00033	SW00057	ST00016	SW00147	SW00168	SW00133	SW00060	ST00015	ST00127	SW00089	SW00078	SW00050	ST00222	SW00006	SW00110	ST00109	SW00021	ST00006	ST00111	ST00042	ST00123	ST00136	SW00098	SW00065	ST00047	SW00040	SW00076	SW00025	ST00232	ST00103	SW00039	ST00095	ST00018	SW00142	ST00091	ST00039	SW00010	ST00384	ST00040
Caulobacterales	0	0	0	12	2	2	0	0	1	44	77	2	0	33	2	0	2	0	0	7	0	0	27	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	65	2	55	0	0	4	0	3	0	0	0	0	0	2	3	0	0	0	0	4	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	40	0	2	0	0	3	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	1	0	0	0	0	9	0	2	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Clostridiales	62622	38311	84034	48374	49969	94272	118807	76073	102771	38237	50679	105054	57857	25765	12696	188212	325548	43862	83455	46779	69993	31240	48588	20206	65664	7344	68675	59759	50234	76518	3999	29068	73552	38255	25711	83032	76017	54313	15832	15601	52387	21719	29456	158976	55583	52756	68506	59901	69819	32299	12030	18770	76836	33802	31828	31525	120415	15075	20144	33959	11167	251131	55781	180013	60958	6215	147188	66090	84348	150406	66683	16272	55156	90602	45193	27981	35152	135743	929447	7230	48953	120742	28165	49247	247395	61444	214127	17137	35185	138441	71863	109010	19307	34098	183509	64218	51609	82013	26455	118840	125373	49915	86902	63597	32143	84609	91541	37963	35331	44081	73880	34798	67559	15038	53343	70294	16619	50375	2331	14865	85255	104296	75233	49930	56514	36261	49930	54606	22168	49549	32396	16498	14855	22246	29953	11051	25399	2399	106665	59677	50530	86638	69139	35054	57619	23432	11264	47150	40420	5388	7876	2024	4205	29705	6709	6201	12207	46115	43101	15450	21540	20096	3684	20828	1271	602	25415	60459	54556	6761	17883	50243	18722	9628	75247	45685	33847	27529	151479	42489	14644	20885	28194	23736	23859	23427	8004	100771	27689	39810	43218	34403	2642	30306	5348	4097	5403	10793	1225	2945	8580	4138	48440	24971	28368	26763	13209	24840	21253	5908	45627	10952	10653	37102	111361	42925	33985	19441	11253	35627	7190	5633	4663	8392	1109	29674	23119	13344	10826	20024	1814	21001	21914	21971	3967	3701	141	72	98	38
Coriobacteriales	708	89	554	468	468	215	1008	197	392	267	458	545	259	1059	67	274	1988	651	541	434	911	166	151	670	50	235	279	440	383	942	50	308	224	140	34	813	65	359	129	368	295	140	56	171	1117	619	87	670	1000	130	105	54	0	207	123	72	1108	0	217	511	42	4471	1734	3043	131	26	381	271	969	364	3753	74	7554	1528	193	141	73	1004	5731	18	941	715	519	946	590	588	709	162	5291	3549	635	160	21	161	1196	165	706	165	104	1511	196	792	529	588	498	528	286	90	704	84	1834	298	675	257	419	393	29	110	46	242	308	797	825	179	1100	548	411	131	358	1290	174	45	223	143	124	2427	133	46	3641	1979	547	364	468	110	161	160	68	67	229	100	85	5	27	200	112	43	104	1124	129	532	38	37	54	87	85	1	384	475	533	79	260	769	26	126	417	1402	320	29	484	108	20	1017	243	24	87	186	76	123	11	155	271	353	31	108	150	50	75	65	17	95	643	0	278	99	151	97	51	121	130	81	510	21	8	758	448	106	93	89	89	2641	116	73	24	71	9	661	63	61	31	435	37	93	83	287	38	51	3	1	0	0
CW040	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacterales	0	0	0	0	5	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcales	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrionales	421	155	518	253	628	265	732	80	564	218	44	344	99	0	153	37	3362	0	6	2	709	22	2	130	36	47	286	319	480	19	39	0	1	108	136	28	381	51	58	76	0	50	586	5	50	111	0	0	126	13	99	15	29	0	297	0	232	9	67	136	0	1738	99	1212	40	168	49	0	3657	575	993	78	312	0	821	0	1	565	3053	17	11	4	0	97	4411	190	202	20	35	400	121	30	36	76	116	71	37	8	73	41	250	450	290	126	100	295	139	209	54	235	4	308	119	54	233	312	279	225	0	7	296	569	292	0	1	159	0	115	80	15	0	53	291	122	371	249	110	41	8	68	321	219	274	63	100	79	0	0	99	4	27	5	19	171	17	155	57	329	306	136	63	245	17	90	5	0	409	15	248	74	23	756	98	7	79	108	115	67	0	26	18	0	1104	499	110	477	17	442	20	237	75	1378	33	4	20	5	3	237	4	0	50	0	270	4	7	0	39	118	0	96	1	15	1	286	4	0	292	95	43	56	26	19	2	33	1	0	183	88	21	7	0	4	80	18	40	0	0	2	0	0
Enterobacteriales	19	10	73	463	97	358	526	170	1	146	1137	15732	13	85	1058	60	6533	171	2299	1234	2731	275	3	0	12	194	134	1249	1	26	116	0	2	0	261	0	6	626	0	55	1	5	0	1	30	10	0	4850	161	6	1	2	1	2	85	28	1	0	22	11	137	71	149	286	0	1	19	7	0	0	0	0	21	16	115	0	2	15995	154	71	0	71	1	100	4725	202	38	1	0	24	0	0	187	1	0	125	136	14	0	21	4	269	151	8	0	57	3	37	0	0	29	1	2	27	4	19	9	3	0	0	0	1865	2178	7	126	6	6	6	0	1	3853	29	15	31	296	348	18	1	7	11	121	51	14	20	925	1	190	84	2	0	48	46	5	551	0	9	2	29063	77	8	87	6	59	73	0	1	0	13	4	16	12	0	0	53	4	3	434	33	68495	425	0	473	36	0	422	0	17	33	1419	5	880	12494	14	54	146	34	0	4615	0	348	50	3	441	5	2	579	62	461	143	9	863	28	0	411	2578	3158	20	51	0	7	7	7	1	130	2	6	49	1168	514	33	0	5	8	0	155	0	0	0	1	0
Erysipelotrichales	293	1467	1139	20346	2802	1138	1089	2260	4889	587	816	4838	9797	958	188	1646	9343	115	4875	434	2159	516	972	2532	1483	258	1915	3901	1685	94	64	908	17566	157	175	5097	234	711	3089	111	1339	102	270	2156	1323	978	9285	3398	623	331	252	121	701	1095	295	90	755	1	3219	1218	257	17556	1091	14756	977	772	1381	1332	365	1359	691	687	12195	3797	774	504	1033	2007	2131	64	1594	197	367	393	574	740	5509	180	403	926	1145	738	610	720	4235	7584	824	913	2504	363	6291	219	832	1781	1109	3194	3562	129	1084	75	1462	1497	2082	1400	1744	1743	172	1765	293	475	1715	1776	389	836	388	2055	776	694	2538	5485	1936	400	547	181	146	413	727	76	5236	731	815	1465	627	428	1983	598	376	1033	1306	47	174	136	152	743	204	503	249	2343	1893	150	271	86	39	101	11	9	976	195	545	434	82	1253	84	130	5256	2744	4363	10057	5998	568	626	63	302	413	2871	142	126	2631	721	2095	448	1182	108	357	91	40	354	69	22	13	779	381	1572	117	1892	958	410	399	86	204	4309	240	203	130	7394	2284	434	1249	343	1229	66	166	125	110	115	4965	901	767	1671	30	50	1328	53	2657	66	164	8	4	5	0
Flavobacteriales	0	0	0	13	0	0	0	0	0	85	136	16	0	50	7	0	0	0	0	5	0	0	33	0	0	0	0	0	0	8	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	11	0	0	0	0	2	0	0	0	77	15	108	0	0	12	0	4	0	0	2	0	0	10	0	0	0	0	0	0	13	0	0	0	1	0	0	0	3	6	0	0	0	0	0	0	0	0	0	2	0	2	6	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	2	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	24	0	2	0	0	0	0	0	0	5	14	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	48	0	0	0	0	0	0	0	0	0	0
