Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	31.8889464003486	1.04841626339339e-22	1.2737311811747e-14	0.0347788399407138
MDS2	17.9367376970841	0.000967139455129801	0.00775598751950401	0.00072679281344135
MDS3	15.3044778119517	0.443978586832669	0.367698413628625	6.11395731070775e-05
MDS4	10.0568119015553	0.208137721408202	0.209807444658532	0.000164671020034311
MDS5	8.96228348404939	0.734249899356068	0.578824482005608	0.000270613113084851
MDS6	6.17494097632783	0.400407104824416	0.33879349768757	8.04202963244385e-06
MDS7	3.60211330324201	0.474030010551391	0.387808365585486	2.51471135063942e-09
MDS8	2.54243615458076	0.829277678924663	0.665716399379062	0.0237057319685994
MDS9	1.16854785863703	0.625936374004255	0.49408803819166	0.999965076767366
MDS10	1.08407429319093	0.394828048208567	0.335105913719195	0.999968828887556
MDS11	0.98924468794338	0.99756005740677	0.960650456637157	0.999960327475307
MDS12	0.289385431089055	0.625864167583791	0.494034783423211	0.99996606584271
