Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
OTU3182235	0.374210559016734	0.399	0.3244521814739	0.324	0.165	0.913	3.33e-11	0.363863179074447	0.981580552907531	1.35946391752577e-10	0.005	0.403
OTU521577	0.245217243294067	0.586	0.299448514569992	0.299	0.121	0.145	<2e-16	0.297345291479821	0.695943775100402	NA	0.004	0.779
OTU840027	1.30453459554497	1.197	1.37482978638109	1.375	0.654	0.68	<2e-16	0.83153596287703	0.921740920096852	NA	0	0.795
OTU183207	1.00216209615219	0.917	0.777740116255746	0.778	0.00294	0.0537	<2e-16	0.0192948502994012	0.602843137254902	NA	0.023	0.575
OTU2607212	0.429797114750199	0.771	0.537805859747872	0.538	0.0182	0.0721	<2e-16	0.0770162162162162	0.620447328244275	NA	0.008	0.801
OTU177836	0.543539588719201	0.785	0.489711341758436	0.49	0.25	0.133	<2e-16	0.478184991273996	0.695943775100402	NA	0.004	0.735
OTU366633	0.37149511678602	0.652	0.391815855894896	0.392	0.655	0.314	<2e-16	0.831842410196987	0.848602409638554	NA	0.002	0.619
OTU366638	0.872387520430394	1.109	0.960921798730506	0.961	0.191	0.0982	<2e-16	0.406477669902913	0.62216384180791	NA	0.004	0.766
OTU197481	0.1758221131324	0.324	0.177128581220529	0.177	0.988	0.56	0.000447	0.991619047619048	0.903174560216509	0.000592013377926421	0.001	0.206
OTU181170	0.164113907940763	0.337	0.227980391127649	0.228	0.0929	0.786	3.32e-10	0.25265111662531	0.959331877729258	1.051776e-09	0.008	0.384
OTU181174	0.693600594138343	0.756	0.438329741603048	0.438	0.000197	0.775	9.43e-13	0.00182359663865546	0.95529217199559	5.74504615384615e-12	0.034	0.452
OTU197524	0.576432941274557	0.792	0.689933833553734	0.69	0.039	0.0582	<2e-16	0.139135064935065	0.608485245901639	NA	0.01	0.701
OTU329927	0.379806229433062	0.531	0.409526869327394	0.41	0.727	0.417	<2e-16	0.871763676148797	0.864946196660482	NA	0.001	0.627
OTU1600780	0.401336631536168	0.794	0.373031390886185	0.373	0.584	0.207	<2e-16	0.79449814126394	0.748783950617284	NA	0.001	0.882
OTU83803	0.0645994424177803	0.196	0.661359719472703	0.661	1.28e-11	0.905	0.000607	5.84533333333333e-10	0.980549854791868	0.000790697368421053	0.15	0.32
OTU323862	0.31040534310291	0.593	0.351264209947252	0.351	0.375	0.504	<2e-16	0.616296735905045	0.888757097791798	NA	0.002	0.697
OTU196664	0.53199813411181	0.96	0.547624939146844	0.548	0.749	0.886	<2e-16	0.880798283261803	0.976049212598425	NA	0	0.881
OTU178331	0.537734216061565	0.919	0.378727389030205	0.379	0.0339	0.741	<2e-16	0.125947118644068	0.944539071347678	NA	0.007	0.67
OTU364563	0.253140239846643	0.437	0.354037409753428	0.354	0.0227	0.424	<2e-16	0.0921451851851852	0.869555555555556	NA	0.012	0.508
OTU179425	0.916200364880206	1.037	0.806981314344105	0.807	0.192	0.0791	<2e-16	0.407025145067698	0.62216384180791	NA	0.008	0.619
OTU194925	0.371823211005205	0.801	0.310010100998255	0.31	0.384	0.0495	<2e-16	0.622579881656805	0.602843137254902	NA	0.01	0.501
OTU334287	0.199169783118521	0.292	0.187258792219704	0.187	0.738	0.197	0.00798	0.877275488069414	0.739080536912752	0.00908068965517241	0.006	0.157
OTU580008	0.219545232658953	0.433	0.20172965460394	0.202	0.496	0.176	<2e-16	0.724351063829787	0.72877037037037	NA	0.005	0.516
OTU178843	0.810662181029835	0.983	0.668588548202325	0.669	0.0363	0.0361	<2e-16	0.132175415282392	0.602843137254902	NA	0.015	0.612
OTU3579707	0.571473619808482	0.919	0.647223826733225	0.647	0.456	0.382	<2e-16	0.699966386554622	0.8643	NA	0.001	0.799
OTU267718	0.199714382764907	0.321	0.243679921579066	0.244	0.28	0.264	0.00184	0.507239669421488	0.790053333333333	0.002208	0.008	0.188
OTU354850	1.90323080245343	1.187	1.85033053997284	1.85	0.286	0.716	<2e-16	0.515552631578947	0.93839115250291	NA	0.001	0.779
OTU197214	1.97936393719806	1.176	1.92904662760997	1.929	0.641	0.167	<2e-16	0.827486454652532	0.714159695817491	NA	0.002	0.779
