MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	41.4359131871359	0.000661225357425059	0.585048909414049
MDS2	9.74986362670263	0.000558986528629054	0.0566240432345351
MDS3	5.88259790112709	0.0010797267802854	0.000144147157850672
MDS4	4.74212841804686	0.00493241683676728	0.000493115191157725
MDS5	3.21855707715525	0.739909547515421	0.000530433221099191
MDS6	2.98666655091043	0.19853959398454	0.00271079534116765
MDS7	2.28349199251342	0.19853959398454	1.07105489938686e-07
MDS8	1.82985998785007	0.19853959398454	0.000132696122729163
