Bacilli	3.41047115462602	3.82335470064326	6.06906470694976e-15	0.303082987398414	9.59038799216265e-07	5.46215823625478e-14	0.76375342072905	1.29470237894196e-06
Thermotogae	0.398285733944213	0.393445957763421	0.995548553472736	0.939252642670037	4.34048954664366e-13	0.995548553472736	0.998837325812352	7.32457610996118e-13
Fusobacteriia	0.504206149229102	1.0683080964129	1.14551247976562e-08	0.204321123222	2.35583297340809e-17	7.73220923841797e-08	0.76375342072905	5.78249911654714e-17
Deltaproteobacteria	2.6114530389908	2.39625407633528	0.000245784303637911	0.836180808785446	2.18849153974495e-21	0.000737352910913733	0.998837325812352	6.56547461923486e-21
Clostridia	4.72905296989632	4.71558097256629	0.658629975395396	0.367733128499172	0.0500689299736134	0.84680996836551	0.76375342072905	0.0519946580495216
Deinococci	0.26072376813484	1.59138421696018	5.98999570947542e-52	0.230778052821793	0.0225351857594659	1.61729884155836e-50	0.76375342072905	0.0243380006202231
Mollicutes	1.12584688725031	1.06442751288657	0.779301810681701	0.587368313798237	8.32173236758732e-24	0.95412196502955	0.961183349834942	2.80858467406072e-23
Flavobacteriia	2.50154093667583	2.12149767395365	1.07594952431897e-06	0.141796975623265	1.4916651214348e-15	4.84177285943536e-06	0.76375342072905	3.06440694802229e-15
Spirochaetia	0.296989659794876	0.54807796765093	8.03041437873303e-05	0.299905788477345	1.58895175082637e-15	0.00027102648528224	0.76375342072905	3.06440694802229e-15
Acidobacteriia	0.235676110121705	0.149415563101498	0.0381896227372815	0.964089527004136	8.0574271155608e-31	0.0793169087620462	0.998837325812352	2.17550532120142e-29
Actinobacteria	3.11645740963595	3.12952497131186	0.938004265478693	0.2006229238136	2.9008206008903e-07	0.987314442326942	0.76375342072905	4.12221874863358e-07
Negativicutes	3.18290685908203	2.97201335155974	0.00306435895534859	0.975766091646143	1.82677655979001e-28	0.00827376917944119	0.998837325812352	1.64409890381101e-27
Fibrobacteria	0.95511995192608	0.862729066927008	0.404117103802175	0.141107414016745	1.36481195907761e-18	0.574271673824143	0.76375342072905	3.68499228950955e-18
Dehalococcoidia	0.151055914916945	0.142791542221236	0.950747240759277	0.8963036653066	0.00129111947474515	0.987314442326942	0.998837325812352	0.00151566199209213
Alphaproteobacteria	1.56521660783427	1.53941280051638	0.917125962813279	0.0488288725101925	7.84722692121291e-08	0.987314442326942	0.76375342072905	1.17708403818194e-07
Erysipelotrichia	1.28064240997276	1.40510273154432	0.368538555548814	0.889996202449617	2.89538602691726e-27	0.574271673824143	0.998837325812352	1.95438556816915e-26
Epsilonproteobacteria	0.484866100287442	1.51613259245855	1.41319921077477e-27	0.322923114201752	0.000139456879732163	1.90781893454594e-26	0.76375342072905	0.000179301702512781
Betaproteobacteria	1.99989560094866	2.08616250880573	0.622164314706263	0.355208346279544	5.94017451146256e-25	0.839921824853454	0.76375342072905	2.29121016870699e-24
Bacteroidia	4.72421888361305	4.69827378818384	0.393863906177579	0.117513213081804	0.00141696526710776	0.574271673824143	0.76375342072905	0.00159408592549623
Cytophagia	0.470295102844044	0.358724476667011	0.178405526569119	0.414707527351468	1.33264135108213e-29	0.344067801240444	0.799793088463545	1.79906582396087e-28
Unclassified	4.15639213821053	4.11808824462552	0.237219165096169	0.998837325812352	3.28015754256611e-17	0.426994497173105	0.998837325812352	7.38035447077375e-17
Gammaproteobacteria	2.12147451143204	2.59159056153777	3.16445769693364e-08	0.640788899889961	1.67853159219248e-10	1.70880715634416e-07	0.961183349834942	2.66590311701159e-10
Aquificae	0.315362544874559	0.158840894745888	2.65349116695378e-06	0.935252041532513	0.675900577827008	1.02348945011074e-05	0.998837325812352	0.675900577827008
Sphingobacteriia	0.512506243705856	0.55306639483389	0.81277056280295	0.961283507824307	2.71917734612881e-25	0.95412196502955	0.998837325812352	1.22362980575796e-24
Caldilineae	0.243347143546335	0.134849230776117	0.00663144354098218	0.605810679919981	0.000237778364696993	0.0149207479672099	0.961183349834942	0.000291818902128127
Chlorobia	0.295949555809314	0.403686442274186	0.284319339936185	0.283942305612158	5.42675196987325e-26	0.479788886142312	0.76375342072905	2.93044606373155e-25
Verrucomicrobiae	1.5448029175026	1.19516111420473	0.00411246138429723	0.546350696539948	3.01068419654466e-15	0.0100942233978205	0.961183349834942	5.41923155378039e-15
Bacilli	3.41	0.492	3.823	0.546	6.06906470694976e-15	0.303082987398414	9.59038799216265e-07	5.46215823625478e-14	0.76375342072905	1.29470237894196e-06
Thermotogae	0.398	0.561	0.393	0.557	0.995548553472736	0.939252642670037	4.34048954664366e-13	0.995548553472736	0.998837325812352	7.32457610996118e-13
Fusobacteriia	0.504	0.902	1.068	1.055	1.14551247976562e-08	0.204321123222	2.35583297340809e-17	7.73220923841797e-08	0.76375342072905	5.78249911654714e-17
Deltaproteobacteria	2.611	0.619	2.396	0.508	0.000245784303637911	0.836180808785446	2.18849153974495e-21	0.000737352910913733	0.998837325812352	6.56547461923486e-21
Clostridia	4.729	0.157	4.716	0.164	0.658629975395396	0.367733128499172	0.0500689299736134	0.84680996836551	0.76375342072905	0.0519946580495216
Deinococci	0.261	0.41	1.591	0.935	5.98999570947542e-52	0.230778052821793	0.0225351857594659	1.61729884155836e-50	0.76375342072905	0.0243380006202231
Mollicutes	1.126	1.039	1.064	0.851	0.779301810681701	0.587368313798237	8.32173236758732e-24	0.95412196502955	0.961183349834942	2.80858467406072e-23
Flavobacteriia	2.502	0.869	2.121	0.66	1.07594952431897e-06	0.141796975623265	1.4916651214348e-15	4.84177285943536e-06	0.76375342072905	3.06440694802229e-15
Spirochaetia	0.297	0.548	0.548	0.683	8.03041437873303e-05	0.299905788477345	1.58895175082637e-15	0.00027102648528224	0.76375342072905	3.06440694802229e-15
Acidobacteriia	0.236	0.409	0.149	0.317	0.0381896227372815	0.964089527004136	8.0574271155608e-31	0.0793169087620462	0.998837325812352	2.17550532120142e-29
Actinobacteria	3.116	0.414	3.13	0.385	0.938004265478693	0.2006229238136	2.9008206008903e-07	0.987314442326942	0.76375342072905	4.12221874863358e-07
Negativicutes	3.183	0.71	2.972	0.624	0.00306435895534859	0.975766091646143	1.82677655979001e-28	0.00827376917944119	0.998837325812352	1.64409890381101e-27
Fibrobacteria	0.955	0.739	0.863	0.762	0.404117103802175	0.141107414016745	1.36481195907761e-18	0.574271673824143	0.76375342072905	3.68499228950955e-18
Dehalococcoidia	0.151	0.297	0.143	0.27	0.950747240759277	0.8963036653066	0.00129111947474515	0.987314442326942	0.998837325812352	0.00151566199209213
Alphaproteobacteria	1.565	0.684	1.539	0.68	0.917125962813279	0.0488288725101925	7.84722692121291e-08	0.987314442326942	0.76375342072905	1.17708403818194e-07
Erysipelotrichia	1.281	0.972	1.405	0.946	0.368538555548814	0.889996202449617	2.89538602691726e-27	0.574271673824143	0.998837325812352	1.95438556816915e-26
Epsilonproteobacteria	0.485	0.57	1.516	1.111	1.41319921077477e-27	0.322923114201752	0.000139456879732163	1.90781893454594e-26	0.76375342072905	0.000179301702512781
Betaproteobacteria	2	0.969	2.086	0.965	0.622164314706263	0.355208346279544	5.94017451146256e-25	0.839921824853454	0.76375342072905	2.29121016870699e-24
Bacteroidia	4.724	0.219	4.698	0.197	0.393863906177579	0.117513213081804	0.00141696526710776	0.574271673824143	0.76375342072905	0.00159408592549623
Cytophagia	0.47	0.741	0.359	0.555	0.178405526569119	0.414707527351468	1.33264135108213e-29	0.344067801240444	0.799793088463545	1.79906582396087e-28
Unclassified	4.156	0.248	4.118	0.244	0.237219165096169	0.998837325812352	3.28015754256611e-17	0.426994497173105	0.998837325812352	7.38035447077375e-17
Gammaproteobacteria	2.121	0.898	2.592	0.781	3.16445769693364e-08	0.640788899889961	1.67853159219248e-10	1.70880715634416e-07	0.961183349834942	2.66590311701159e-10
Aquificae	0.315	0.375	0.159	0.273	2.65349116695378e-06	0.935252041532513	0.675900577827008	1.02348945011074e-05	0.998837325812352	0.675900577827008
Sphingobacteriia	0.513	0.7	0.553	0.674	0.81277056280295	0.961283507824307	2.71917734612881e-25	0.95412196502955	0.998837325812352	1.22362980575796e-24
Caldilineae	0.243	0.447	0.135	0.273	0.00663144354098218	0.605810679919981	0.000237778364696993	0.0149207479672099	0.961183349834942	0.000291818902128127
Chlorobia	0.296	0.659	0.404	0.814	0.284319339936185	0.283942305612158	5.42675196987325e-26	0.479788886142312	0.76375342072905	2.93044606373155e-25
Verrucomicrobiae	1.545	1.213	1.195	1.059	0.00411246138429723	0.546350696539948	3.01068419654466e-15	0.0100942233978205	0.961183349834942	5.41923155378039e-15
