MDS Axis	% variation explained	Origin adj p-value	Participant adj p-value
MDS1	31.8889464003486	5.95268309587471e-22	0.0347788399407138
MDS2	17.9367376970841	0.119519361855881	0.000969057084588466
MDS3	15.3044778119517	0.437644656380889	0.000163038861618873
MDS4	10.0568119015553	0.156083155564037	0.000329342040068621
MDS5	8.96228348404939	0.411882260587658	0.000432980980935762
MDS6	6.17494097632783	0.411882260587658	3.21681185297754e-05
MDS7	3.60211330324201	0.411882260587658	2.01176908051153e-08
MDS8	2.54243615458076	0.934651067504725	0.0270922651069707
