MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	58.8072268135618	8.84585178043228e-59	0.999704437041886
MDS2	6.04602051188592	0.0641434431622485	0.653745724020605
MDS3	3.97483837147865	1.09736266464873e-06	0.455828641869633
MDS4	2.49291801748293	0.997859008822649	0.764971250153241
MDS5	1.90956481968583	0.997859008822649	0.999704437041886
MDS6	1.71464701026189	0.997859008822649	0.729386440704135
MDS7	1.59605010062689	0.997859008822649	0.808802974343969
MDS8	1.47683680903528	0.997859008822649	0.999704437041886
MDS9	1.35704128412481	0.949985462380356	0.925362677759901
MDS10	1.18544231142018	0.997859008822649	0.999704437041886
MDS11	1.15288103181211	0.997859008822649	0.848801785785414
MDS12	1.11581820281501	0.997859008822649	0.653745724020605
MDS13	0.990205922939177	0.997859008822649	0.999704437041886
MDS14	0.973858706367297	0.997859008822649	0.653745724020605
MDS15	0.896320144671804	0.997859008822649	0.999704437041886
MDS16	0.872009627117856	0.997859008822649	0.999704437041886
MDS17	0.855699570511987	0.997859008822649	0.999704437041886
MDS18	0.785375555748825	0.997859008822649	0.999704437041886
MDS19	0.738551703796717	0.997859008822649	0.999704437041886
MDS20	0.681872162124691	0.997859008822649	0.999704437041886
MDS21	0.663774074185274	0.997859008822649	0.995661513095356
MDS22	0.63105594874362	0.997859008822649	0.999704437041886
MDS23	0.567998086275076	0.997859008822649	0.873003786669927
MDS24	0.556148943038802	0.997859008822649	0.658080922728051
MDS25	0.51495907071934	0.997859008822649	0.865348838281764
MDS26	0.453889109992421	0.997859008822649	0.999704437041886
MDS27	0.418667412813071	0.997859008822649	0.848801785785414
MDS28	0.401369085144503	0.997859008822649	0.848801785785414
MDS29	0.387532541115452	0.997859008822649	0.713458865283797
MDS30	0.350149030630664	0.997859008822649	0.659473660024205
MDS31	0.333670891480823	0.997859008822649	0.764971250153241
MDS32	0.324444991692166	0.997859008822649	0.999704437041886
MDS33	0.308189065933181	0.997859008822649	0.999704437041886
MDS34	0.286731848616308	0.997859008822649	0.999704437041886
MDS35	0.276225815545305	0.997859008822649	0.999704437041886
MDS36	0.270468536764985	0.997859008822649	0.659473660024205
MDS37	0.24819993353492	0.997859008822649	0.729386440704135
MDS38	0.230051112476282	0.997859008822649	0.999704437041886
MDS39	0.219505822637047	0.997859008822649	0.764971250153241
MDS40	0.207323912993177	0.997859008822649	0.729386440704135
MDS41	0.191291283053367	0.997859008822649	0.658080922728051
MDS42	0.177005854257466	0.780902991864498	0.848801785785414
MDS43	0.166949342239479	0.997859008822649	0.764971250153241
MDS44	0.164762828652365	0.997859008822649	0.659473660024205
MDS45	0.157158082838289	0.997859008822649	0.729386440704135
MDS46	0.143173594795162	0.997859008822649	0.999704437041886
MDS47	0.135315172535947	0.997859008822649	0.659473660024205
MDS48	0.12387664411518	0.997859008822649	0.929434337634249
MDS49	0.11906997566074	0.997859008822649	0.816452078851457
MDS50	0.112937383180028	0.997859008822649	0.658080922728051
MDS51	0.0969396533302109	0.997859008822649	0.455828641869633
MDS52	0.091328179648165	0.997859008822649	0.713458865283797
MDS53	0.0869278922234812	0.997859008822649	0.729386440704135
MDS54	0.0830520415274624	0.997859008822649	0.653745724020605
MDS55	0.0813557043362949	0.997859008822649	0.745135112410826
MDS56	0.0741651815406619	0.997859008822649	0.455828641869633
MDS57	0.0632914599693835	0.997859008822649	0.713458865283797
MDS58	0.0562674615131851	0.997859008822649	0.659473660024205
MDS59	0.0512011910292869	0.997859008822649	0.455828641869633
MDS60	0.0497015262276137	0.997859008822649	0.839535118574729
MDS61	0.0466959791379042	0.997859008822649	0.658080922728051
MDS62	0.0416655801883313	0.997859008822649	0.455828641869633
MDS63	0.0375511960478549	0.997859008822649	0.455828641869633
MDS64	0.0335925211112042	0.997859008822649	0.653745724020605
MDS65	0.0293850560369432	0.997859008822649	0.999704437041886
MDS66	0.0289535282602545	0.997859008822649	0.713458865283797
MDS67	0.0264731688283186	0.997859008822649	0.658080922728051
MDS68	0.0237938126066848	0.997859008822649	0.764971250153241
MDS69	0.0228137035049772	0.997859008822649	0.594155240341643
MDS70	0.0201735840455308	0.997859008822649	0.857845350265952
MDS71	0.0182630465625556	0.997859008822649	0.896667985629143
MDS72	0.0168642777614802	0.997859008822649	0.729386440704135
MDS73	0.0156461207955176	0.997859008822649	0.764971250153241
MDS74	0.0133893343301915	0.997859008822649	0.813468413649672
MDS75	0.0115185022113548	0.997859008822649	0.729386440704135
MDS76	0.0102906870012796	0.997859008822649	0.995317425929016
MDS77	0.00961157729197132	0.997859008822649	0.653745724020605
MDS78	0.00834764561369587	0.997859008822649	0.653745724020605
MDS79	0.00791475398924954	0.997859008822649	0.848801785785414
MDS80	0.0072182292898095	0.997859008822649	0.718065714468791
MDS81	0.00642312341986125	0.997859008822649	0.653745724020605
MDS82	0.00606944501503746	0.997859008822649	0.718065714468791
MDS83	0.00540083191803465	0.997859008822649	0.455828641869633
MDS84	0.00522129041561443	0.997859008822649	0.999704437041886
MDS85	0.00445742281983756	0.997859008822649	0.848801785785414
MDS86	0.00428163104812009	0.997859008822649	0.890047325055679
MDS87	0.00385696184875526	0.997859008822649	0.865348838281764
MDS88	0.00362229164736341	0.997859008822649	0.729386440704135
MDS89	0.00325145154760773	0.997859008822649	0.999704437041886
MDS90	0.00293656707726152	0.997859008822649	0.848801785785414
MDS91	0.00234003846569609	0.997859008822649	0.455828641869633
MDS92	0.00226833750311508	0.997859008822649	0.659473660024205
