MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	59.6556637716137	2.76670242059173e-47	0.999930488302613
MDS2	6.7337599574239	2.23796633568615e-19	0.999930488302613
MDS3	2.71755733993201	0.000299855423977201	0.616663115931017
MDS4	2.49367188100408	0.999920750278029	0.586649031822312
MDS5	1.51760645381266	0.999920750278029	0.999930488302613
MDS6	1.35693622244907	0.999920750278029	0.999930488302613
MDS7	1.30615093348642	0.999920750278029	0.999930488302613
MDS8	1.17336515466146	0.999920750278029	0.999930488302613
MDS9	1.12413411412327	0.999920750278029	0.995016885646035
MDS10	1.05963342294631	0.999920750278029	0.999930488302613
MDS11	0.980716538614493	0.999920750278029	0.999930488302613
MDS12	0.968642051766163	0.999920750278029	0.999930488302613
MDS13	0.944372767587361	0.999920750278029	0.995016885646035
MDS14	0.854449060654134	0.999920750278029	0.999930488302613
MDS15	0.833385209712985	0.999920750278029	0.999930488302613
MDS16	0.757395921138555	0.999920750278029	0.999930488302613
MDS17	0.719186552918182	0.999920750278029	0.999930488302613
MDS18	0.683631595758398	0.999920750278029	0.972619071491877
MDS19	0.679197258522679	0.999920750278029	0.999930488302613
MDS20	0.65443839100608	0.999920750278029	0.999930488302613
MDS21	0.598477799485959	0.999920750278029	0.882335618871121
MDS22	0.570560663992623	0.999920750278029	0.999930488302613
MDS23	0.563062241405566	0.999920750278029	0.995016885646035
MDS24	0.523479179617675	0.999920750278029	0.804215854630275
MDS25	0.50612859275987	0.999920750278029	0.999930488302613
MDS26	0.483888794956131	0.999920750278029	0.999930488302613
MDS27	0.465875968669564	0.999920750278029	0.586649031822312
MDS28	0.44779525785474	0.999920750278029	0.982862578679098
MDS29	0.438007361914982	0.999920750278029	0.882335618871121
MDS30	0.404546525529541	0.999920750278029	0.999930488302613
MDS31	0.388063011508588	0.999920750278029	0.804215854630275
MDS32	0.376013876431913	0.999920750278029	0.804215854630275
MDS33	0.348510819354869	0.999920750278029	0.999930488302613
MDS34	0.325352450989804	0.999920750278029	0.995016885646035
MDS35	0.310352360880125	0.999920750278029	0.586649031822312
MDS36	0.2807361768844	0.999920750278029	0.882335618871121
MDS37	0.270299705007303	0.999920750278029	0.999930488302613
MDS38	0.266481452211199	0.999920750278029	0.466970923541088
MDS39	0.256645844769832	0.999920750278029	0.467823010675788
MDS40	0.233416772735402	0.999920750278029	0.882335618871121
MDS41	0.220107992235411	0.999920750278029	0.804215854630275
MDS42	0.208313357645693	0.999920750278029	0.804215854630275
MDS43	0.19935108207811	0.999920750278029	0.466970923541088
MDS44	0.193113470677332	0.999920750278029	0.90426074810433
MDS45	0.182746253963953	0.999920750278029	0.894598924279484
MDS46	0.165281839689218	0.999920750278029	0.999930488302613
MDS47	0.160274746893423	0.999920750278029	0.628087495503045
MDS48	0.144864167374111	0.999920750278029	0.804215854630275
MDS49	0.140079824384736	0.999920750278029	0.466970923541088
MDS50	0.130071357901057	0.999920750278029	0.586649031822312
MDS51	0.127810226104293	0.999920750278029	0.595752523754623
MDS52	0.122887082030165	0.999920750278029	0.586649031822312
MDS53	0.115473768661179	0.999920750278029	0.918195710037085
MDS54	0.112976741402624	0.999920750278029	0.804215854630275
MDS55	0.107527263142934	0.999920750278029	0.882335618871121
MDS56	0.104310788954775	0.999920750278029	0.991488157377112
MDS57	0.10373272347082	0.999920750278029	0.882335618871121
MDS58	0.0970475895852982	0.999920750278029	0.972619071491877
MDS59	0.0917198639089707	0.999920750278029	0.90426074810433
MDS60	0.0879897162393043	0.999920750278029	0.999930488302613
MDS61	0.0824571149294172	0.999920750278029	0.466970923541088
MDS62	0.0770579073758412	0.999920750278029	0.882335618871121
MDS63	0.0747321855884892	0.999920750278029	0.972619071491877
MDS64	0.0734321106771681	0.999920750278029	0.416573565844091
MDS65	0.0719942633328479	0.999920750278029	0.025130994899171
MDS66	0.0662912124396943	0.999920750278029	0.999930488302613
MDS67	0.0630965475751575	0.999920750278029	0.616663115931017
MDS68	0.0623639875711337	0.999920750278029	0.466970923541088
MDS69	0.0610953377267815	0.999920750278029	0.894598924279484
MDS70	0.0594597512937082	0.999920750278029	0.882335618871121
MDS71	0.0569529877177537	0.999920750278029	0.466970923541088
MDS72	0.0531087477485511	0.999920750278029	0.466970923541088
MDS73	0.0505979627564196	0.999920750278029	0.586649031822312
MDS74	0.0500853653183699	0.999920750278029	0.958489067847381
MDS75	0.046223922187799	0.999920750278029	0.804215854630275
MDS76	0.0422846404713178	0.999920750278029	0.76959493518362
MDS77	0.0418694066960323	0.999920750278029	0.466970923541088
MDS78	0.0395031411095572	0.999920750278029	0.025130994899171
MDS79	0.0388068408509736	0.999920750278029	0.843866213922835
MDS80	0.0371226025912617	0.999920750278029	0.995016885646035
MDS81	0.0361938047102492	0.999920750278029	0.466970923541088
MDS82	0.0355858141874698	0.999920750278029	0.466970923541088
MDS83	0.0337380357270797	0.999920750278029	0.466970923541088
MDS84	0.0322229304909867	0.999920750278029	0.65604797434928
MDS85	0.0312803770030803	0.999920750278029	0.466970923541088
MDS86	0.0288439291310225	0.999920750278029	0.999930488302613
MDS87	0.0274739896345635	0.999920750278029	0.771820547033358
MDS88	0.0255239753251068	0.999920750278029	0.995016885646035
MDS89	0.0249734676819418	0.999920750278029	0.999930488302613
MDS90	0.0239330812118104	0.999920750278029	0.466970923541088
MDS91	0.0234471074775033	0.999920750278029	0.999930488302613
MDS92	0.0223435109434942	0.999920750278029	0.999930488302613
MDS93	0.0210917854983065	0.999920750278029	0.466970923541088
MDS94	0.0202969303207354	0.999920750278029	0.999930488302613
