Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	36.3561493704002	4.06767478986969e-28	0.580437833896684	9.69111930656347e-07
MDS2	8.74167609472726	1.67903989678294e-21	0.2245795184057	4.63709777137981e-06
MDS3	5.10776879448151	0.000157551299021073	0.936111076852126	3.38843111274012e-10
MDS4	4.14182146074629	0.0474295902397966	0.317016558308771	2.26911520385158e-10
MDS5	3.86535289518319	0.00708371473060317	0.891706599484729	5.96454390377636e-10
MDS6	2.58163247193806	0.0534581873519672	0.946473823521779	3.67012584919896e-10
MDS7	2.50348948304559	0.0986834448274045	0.249085712807899	5.75149118167029e-11
MDS8	2.12765828932336	0.108954084195607	0.385450885402562	3.01872360979723e-10
