Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Eubacteriaceae	2.95954966300549	0.621	2.7664906565827	0.788	0.720078137286896	0.661	<2e-16	0.364	2.33e-15	2.96e-14	0.541	1.01e-06	NA	1	3.23611111111111e-14	3.5e-13	0.921875	3.82575757575758e-06	0.559	0.739
Spirochaetaceae	0.850461199007021	0.377	1.02488650372523	0.473	0.809599077076861	0.342	3.63e-05	0.102	0.922	0.195	0.749	1.05e-08	6.84905660377359e-05	0.51	0.944672131147541	0.236650485436893	0.94	8.203125e-08	0.089	0.544
Comamonadaceae	0.646701297464172	0.396	0.857044990511804	0.524	0.964008030187136	0.195	0.566	0.0467	0.013	0.684	0.811	4.64e-07	0.566	0.36484375	0.0219594594594595	0.713541666666667	0.950657894736842	2e-06	0.005	0.45
Bifidobacteriaceae	1.93005174668966	0.705	1.83861933722293	0.659	0.347531132303426	0.394	<2e-16	0.8	4.7e-14	1.73e-10	0.196	9.72e-06	NA	1	3.26388888888889e-13	1.3515625e-09	0.760416666666667	2.64130434782609e-05	0.416	0.652
Xanthomonadaceae	0.45199284103991	0.392	0.526058884891388	0.418	0.302487882048545	0.373	1.91e-05	0.656	0.341	0.171	0.136	5.32e-06	3.82e-05	1	0.3875	0.21375	0.740384615384615	1.54651162790698e-05	0.131	0.453
Prevotellaceae	1.69857977976149	0.653	2.00226804876987	0.926	0.505838599324267	0.714	<2e-16	0.125	2.55e-08	2.24e-09	0.479	1.83e-09	NA	0.538793103448276	1.38586956521739e-07	1.55555555555556e-08	0.921875	2e-08	0.353	0.664
Desulfarculaceae	0.224088197510459	0.286	0.182744321639796	0.333	0.168826088002821	0.309	0.00469	0.794	0.771	0.988	0.303	1.6e-06	0.0055952380952381	1	0.83804347826087	0.991	0.861111111111111	5.71428571428571e-06	0.073	0.392
Planctomycetaceae	0.362392283870712	0.333	0.384221846274642	0.41	0.0352537561027599	0.141	3.24e-11	0.95	0.00122	0.00333	0.568	2.23e-07	1.50454545454545e-10	1	0.00293269230769231	0.00816176470588235	0.921875	1.07211538461538e-06	0.254	0.576
Lactobacillaceae	0.938606693351554	0.529	1.01648359384087	0.48	0.133576878951477	0.37	3.31e-11	0.753	8.02e-08	3.98e-07	0.583	0.000357	1.50454545454545e-10	1	3.85576923076923e-07	1.91346153846154e-06	0.921875	0.000619791666666667	0.275	0.508
Micrococcaceae	0.629019938145178	0.477	0.64961805078721	0.605	0.0501713787930516	0.201	2.93e-12	0.979	5.79e-05	0.00038	0.922	2.37e-08	1.72352941176471e-11	1	0.000195608108108108	0.0011875	0.985042735042735	1.74264705882353e-07	0.267	0.612
Alcaligenaceae	0.429923217531934	0.348	0.400292755884699	0.468	0.0501713787930516	0.201	1.99e-12	0.923	0.000471	0.00712	0.417	4.76e-08	1.24375e-11	1	0.00130833333333333	0.0146370967741935	0.911637931034483	2.95833333333333e-07	0.281	0.616
Staphylococcaceae	0.29115871925441	0.306	0.309658735646278	0.358	0	0	0.000288	0.956	0.00131	0.00367	0.509	0.092	0.000446153846153846	1	0.00303240740740741	0.00882211538461538	0.921875	0.105504587155963	0.111	0.218
Anaeromyxobacteraceae	0.284377831616103	0.314	0.344627946246208	0.403	0	0	2.83e-08	0.649	0.00322	0.00203	0.371	2.41e-05	8.84375e-08	1	0.00682203389830509	0.00551630434782609	0.861111111111111	5.68396226415094e-05	0.202	0.469
Pelobacteraceae	0.239354769491731	0.31	0.29446014873312	0.364	0	0	9.01e-08	0.678	0.0118	0.00717	0.647	5.09e-05	2.50277777777778e-07	1	0.0202054794520548	0.0146370967741935	0.921875	0.000109698275862069	0.191	0.468
Kofleriaceae	0.172332634311126	0.296	0.209852983537448	0.317	0.050066526876103	0.2	1.63e-06	0.82	0.27	0.192	0.563	1.47e-07	3.97560975609756e-06	1	0.315420560747664	0.235294117647059	0.921875	7.35e-07	0.151	0.502
Nocardiopsaceae	0.155104841382762	0.252	0.153252774526509	0.292	0	0	5.92e-06	0.999	0.0549	0.121	0.273	3.36e-06	1.23958333333333e-05	1	0.07625	0.159210526315789	0.824404761904762	1.07692307692308e-05	0.143	0.472
Catenulisporaceae	0.116723478267962	0.214	0.152939848369344	0.311	0	0	0.0174	0.733	0.136	0.0803	0.372	0.179	0.0193333333333333	1	0.171717171717172	0.109103260869565	0.861111111111111	0.199776785714286	0.06	0.157
Chromobacteriaceae	0.21546920139583	0.267	0.307346539306778	0.327	0.183312868833332	0.336	0.0277	0.288	0.907	0.346	0.00743	1.03e-05	0.0297849462365591	0.947368421052631	0.93698347107438	0.396788990825688	0.623214285714286	2.73936170212766e-05	0.072	0.364
Rhodobacteraceae	0.550919385627579	0.393	0.615480283906558	0.475	0	0	<2e-16	0.72	1.68e-06	4.24e-06	0.238	1.92e-09	NA	1	7.24137931034483e-06	1.76666666666667e-05	0.791666666666667	2e-08	0.386	0.728
Vibrionaceae	0.43624989724325	0.32	0.474499288201034	0.435	0.118236230328426	0.267	2.61e-06	0.86	0.00208	0.00317	0.745	0.000101	6.06976744186047e-06	1	0.00472727272727273	0.007925	0.94	0.000206967213114754	0.148	0.413
Geodermatophilaceae	0.11708773141115	0.203	0.102520839074411	0.203	0.0501713787930516	0.201	0.224	0.939	0.435	0.685	0.0912	0.337	0.230927835051546	1	0.489864864864865	0.713541666666667	0.7125	0.363146551724138	0.039	0.104
Nocardiaceae	0.312496621269627	0.336	0.335828792488142	0.431	0	0	1.84e-11	0.945	0.00244	0.00564	0.798	3.96e-09	9.2e-11	1	0.00525862068965517	0.0125	0.950657894736842	3.53571428571429e-08	0.254	0.602
Rhodospirillaceae	0.568949840525649	0.412	0.621760475290867	0.461	0.0704053671341408	0.192	<2e-16	0.814	2.95e-05	7.4e-05	0.0446	2.67e-12	NA	1	0.000105357142857143	0.000256944444444444	0.623214285714286	1.1125e-10	0.366	0.751
Bacillaceae	1.44241811795509	0.47	2.56508939432309	0.542	1.64547757938884	0.357	<2e-16	1.54e-14	0.247	1.44e-08	0.0525	0.765	NA	1.86875e-12	0.294047619047619	8.18181818181818e-08	0.623214285714286	0.783811475409836	0.474	0.487
Veillonellaceae	1.20421137263648	0.603	1.14985417180691	0.727	0.118233161850578	0.326	2.48e-13	0.908	2.11e-09	7.97e-07	0.699	0.000109	2.06666666666667e-12	1	1.31875e-08	3.55803571428571e-06	0.94	0.000219758064516129	0.327	0.564
Coriobacteriaceae	2.25293085657805	0.559	1.98611867092586	0.659	0.631800007424401	0.504	<2e-16	0.0775	2.39e-14	1.39e-11	0.0306	1.25e-05	NA	0.463690476190476	2.48958333333333e-13	1.15833333333333e-10	0.623214285714286	3.125e-05	0.548	0.73
Erysipelotrichaceae	1.64202430080606	0.458	1.57569945634243	0.618	0.319243477490286	0.468	<2e-16	0.806	2.81e-14	7.35e-13	0.217	6.06e-05	NA	1	2.49166666666667e-13	7.06730769230769e-12	0.760416666666667	0.000128389830508475	0.507	0.696
