Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Methylocystaceae	0.0633788171477075	0.148	0.185979132364713	0.365	0.340766676040553	0.423	0.000267	0.0553	0.000149	0.114	0.825	0.433	0.000423809523809524	0.384027777777778	0.000433139534883721	0.151595744680851	0.950657894736842	0.458686440677966	0.116	0.152
Symbiobacteriaceae	0.258318758877651	0.31	0.280184181831156	0.334	0	0	2.2e-08	0.938	0.00475	0.00924	0.975	2.74e-05	7.09677419354839e-08	1	0.00957661290322581	0.0175	0.996	6.22727272727273e-05	0.205	0.484
Enterococcaceae	1.40914063364435	0.456	1.29353692146639	0.597	0.101645072477406	0.278	<2e-16	0.49	2.83e-14	1.1e-12	0.619	2.54e-08	NA	1	2.49166666666667e-13	9.82142857142857e-12	0.921875	1.76388888888889e-07	0.513	0.771
Deferribacteraceae	0.138435817449517	0.211	0.0996628202374029	0.178	0	0	0.000674	0.618	0.0238	0.23	0.492	0.0122	0.000991176470588235	1	0.0381410256410256	0.276442307692308	0.921875	0.0160526315789474	0.103	0.278
Unclassified	3.43300596370541	0.183	3.40768018462267	0.296	2.38364932837953	0.183	<2e-16	0.84	1.67e-15	1.67e-15	0.509	0.00867	NA	1	2.953125e-14	8.79166666666667e-14	0.921875	0.0116532258064516	0.748	0.809
Thermodesulfobacteriaceae	0.189977399001811	0.236	0.136624686153274	0.224	0.0447182510934897	0.179	0.0623	0.512	0.0471	0.396	0.0378	0.846	0.0662765957446809	1	0.0669034090909091	0.445945945945946	0.623214285714286	0.859756097560976	0.067	0.081
Sphingomonadaceae	0.410113582380493	0.343	0.341784011385942	0.424	0	0	3.5e-12	0.621	5.35e-05	0.00509	0.267	4e-07	1.94444444444444e-11	1	0.000185763888888889	0.0117824074074074	0.824404761904762	1.85185185185185e-06	0.286	0.6
Acetobacteraceae	0.347363337309605	0.324	0.297491137116833	0.308	0.165976949070335	0.301	0.00096	0.747	0.0922	0.39	0.633	0.0086	0.00131506849315068	1	0.120052083333333	0.443181818181818	0.921875	0.0116532258064516	0.095	0.316
Aeromonadaceae	0.47671814621573	0.354	0.57938940587568	0.496	0	0	1.58e-11	0.397	1.22e-05	4.78e-06	0.73	0.000192	8.31578947368421e-11	1	4.765625e-05	1.92741935483871e-05	0.94	0.000356617647058824	0.276	0.52
Hyphomicrobiaceae	0.208394772360418	0.288	0.145324938935885	0.228	0.0501713787930516	0.201	6.54e-05	0.52	0.0785	0.5	0.726	4.97e-05	0.000112758620689655	1	0.105510752688172	0.543478260869565	0.94	0.000108991228070175	0.127	0.406
Acholeplasmataceae	0.241250238020148	0.306	0.36878531075546	0.359	0.214423753355766	0.299	0.0266	0.146	0.947	0.266	0.187	0.00643	0.0289130434782609	0.608333333333333	0.96239837398374	0.313679245283019	0.760416666666667	0.00913352272727273	0.052	0.252
