Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Burkholderiales	1.20003504604534	1.28047110542571	1.04882467876262	0.227222481420225	0.654079508327803	0.390082124408881	0.197670023003468	0.436993093544129	7.55681123398647e-12	0.274437542494558	0.99995620847492	0.503856077361472	0.311581561683432	0.994363432932635	2.91212207088412e-10
Acidithiobacillales	0.0792921217987149	0.22733280094092	0.0501713787930516	0.000757521040340841	0.000939221591203965	0.833011290673272	0.00855616004364701	0.215470629274618	0.682402240416907	0.00213483202277873	0.0097052897757743	0.890460345202463	0.0215060238934911	0.993339021584748	0.737946608822934
Thermotogales	0.135137977749377	0.116287792192527	0.0238152894117063	0.214161395803457	0.925071658961752	0.185567055922544	0.420301982779915	0.322046031817871	0.000703927024198873	0.262065918548967	0.99995620847492	0.292504003403332	0.54755659222266	0.994363432932635	0.00167859521155116
Aquificales	0.126842726636262	0.0801759370358542	0	0.0757496953705865	0.56600017453717	0.0745681072946921	0.457553065075872	0.555948518971674	0.0174239203280217	0.119402062194314	0.99995620847492	0.138696679568127	0.55262902665008	0.994363432932635	0.0274648235678987
Bacillales	1.60350709966328	2.59934473444399	1.65259988312888	1.34703247401524e-19	1.98729921407903e-14	0.904776741818654	2.09066430834071e-10	0.0352306394364886	0.516947529775338	1.78962885833453e-18	1.38872247035238e-12	0.956184511240168	1.94431780675686e-09	0.993339021584748	0.57233476510841
Chlamydiales	0.171833208766378	0.118247335261628	0	0.11816438802374	0.704655519387095	0.107992098603089	0.453257195063832	0.789869208357785	0.043808222104119	0.164019225167281	0.99995620847492	0.185986392038653	0.55262902665008	0.995692413269522	0.0626794562412779
Nitrospirales	0.065486413032568	0.127284542910306	0	0.0603528861225379	0.222353038006797	0.342858679490514	0.0533794996791381	0.881556981159337	0.000141449938305743	0.1020512438072	0.861618022276339	0.461077049622918	0.101312111635915	0.995692413269522	0.000424349814917228
Thermales	0.636318667999715	1.54124043857125	0.652453947511019	4.57974780300803e-16	2.98649993624167e-14	0.990132282115711	8.46999781423108e-09	0.177526885663018	0.264512687180161	3.87196859708861e-15	1.38872247035238e-12	0.999462195220596	6.56424830602909e-08	0.993339021584748	0.32367999878625
Vibrionales	0.43624989724325	0.474499288201034	0.118236230328426	0.00176697348579256	0.859954604792666	0.00207571680920271	0.00316608750042957	0.791753063592077	0.00010124419969942	0.0041082133544677	0.99995620847492	0.00584974737138946	0.00949826250128871	0.995692413269522	0.000324679674898141
Gemmatimonadales	0.0664425181735002	0.0831953019584084	0	0.268859738116711	0.888994110750365	0.315133840308799	0.262972495635629	0.224035062010878	0.00353459080322934	0.316505767656381	0.99995620847492	0.450883802287974	0.38668786482268	0.993339021584748	0.00684826968125684
Dictyoglomales	0.0471821190756038	0.0122238649330132	0	0.199453069187617	0.378230811571303	0.327623326806514	0.945524786501923	0.821900250920235	0.543871514030831	0.250663992357411	0.99995620847492	0.459962977734292	0.996942283302907	0.995692413269522	0.595059421233732
Thermoanaerobacterales	0.93943559804807	1.28485776538953	1.67453535548281	1.13022866952178e-17	3.72845543661349e-07	3.09752223870419e-14	9.61597749596921e-05	0.99265842955352	0.277394492828622	1.16790295850584e-16	6.93492711210109e-06	3.20077297999433e-13	0.000406493594147789	0.995692413269522	0.335034906922881
Chloroflexales	0.175195711364698	0.113438635096238	0	0.0239302238126748	0.463765955184127	0.0228489026245919	0.300100580825178	0.424708130299748	0.0068174351318456	0.0473512939272076	0.99995620847492	0.0574310255158662	0.412803002124907	0.994363432932635	0.0111231836361691
Phycisphaerales	0.137786830952694	0.1070191239523	0	0.0853666481578613	0.806356983220753	0.0704420149471627	0.300700660870542	0.860078641075205	0.00333723704203916	0.132318304644685	0.99995620847492	0.136481403960128	0.412803002124907	0.995692413269522	0.00660346904063068
Fibrobacterales	0.100536310684077	0.110122697573074	0	0.104381379757814	0.967086111421005	0.10360819055266	0.133168894381306	0.245664489209131	0.0056708171722773	0.151679192460573	0.99995620847492	0.183966573310617	0.225176494135663	0.993339021584748	0.010340901902388
Acholeplasmatales	0.241250238020148	0.36878531075546	0.214423753355766	0.139485369508908	0.145915757282724	0.946628867671069	0.266107777942489	0.235732735387172	0.00643044750812133	0.185316276633264	0.646198353680636	0.982009960681826	0.38668786482268	0.993339021584748	0.0110739046641943
Cytophagales	0.752419165069793	0.660016885955632	0.390107808122779	0.00367027166213621	0.524741633207001	0.00268643891702325	0.0808383247373103	0.555988156048355	0.00268448382333153	0.00832525035557725	0.99995620847492	0.00734820056715183	0.147411062756272	0.994363432932635	0.00554793323488516
Entomoplasmatales	0.0911206094544612	0.0771036510458987	0.0501713787930516	0.723340369794994	0.939677528592298	0.715987441394387	0.898438323684371	0.905104932650987	0.176360747983355	0.739237960339939	0.99995620847492	0.802250988550337	0.971567024449378	0.995692413269522	0.2277992994785
Rubrobacterales	0.0944423052851321	0.131779645506178	0	0.114615244392328	0.665129843677653	0.19697254455517	0.0981841768170912	0.592854062841002	0.109754043706166	0.161503298916462	0.99995620847492	0.305307444060513	0.175598623922875	0.995692413269522	0.147929363256137
Bacteroidales	4.32089349938983	4.07286368918928	2.08827184615601	1.31627025668507e-38	0.0270277844053348	1.66533453693773e-15	1.66533453693773e-15	0.818932400691196	0.00222498198868679	6.12065669358555e-37	0.193352611515088	5.16253706450698e-14	5.85087533977457e-14	0.995692413269522	0.00470280283972436
Desulfurellales	0.0579911526749514	0.0773399565051884	0	0.444317523006706	0.890391697112265	0.519852070518345	0.423914781075608	0.551046017795214	0.00160040257388145	0.474960110800272	0.99995620847492	0.611977753901343	0.54755659222266	0.994363432932635	0.00372093598427437
Thermomicrobiales	0.0398923806862439	0.00972651367243885	0	0.210598969689705	0.382905774348615	0.347047241651659	0.954063045311384	0.327396976986058	0.222588874977077	0.261142722415234	0.99995620847492	0.461077049622918	0.996942283302907	0.994363432932635	0.279740072606327
Clostridiales	3.8546372508642	3.7920582582857	1.76865328600991	9.00662844939451e-32	0.825106604545233	1.66533453693773e-15	1.88737914186277e-15	0.995692413269522	0.0030817434592819	2.7920548193123e-30	0.99995620847492	5.16253706450698e-14	5.85087533977457e-14	0.995692413269522	0.00623048134159166
Parvularculales	0.0291736070440092	0	0	0.191908907328861	0.272219897455207	0.43807624379819	1	0.974451085771264	0.0541528732103814	0.247882338633112	0.973709633205165	0.536066982542522	1	0.995692413269522	0.0763063213419011
Nautiliales	0.0352431291923167	0.0251361806554898	0	0.439432239056225	0.891697514646537	0.418002041813916	0.718956784809883	0.620004468486749	0.999957045800737	0.474960110800272	0.99995620847492	0.532523149160195	0.786623305733166	0.995692413269522	0.999990270309477
Synergistales	0.399809717212446	0.396231045413419	0.0501713787930516	0.00174040805512248	0.998815044225214	0.00128073385896532	0.00738140101569285	0.883922154460532	7.47172315036483e-08	0.0041082133544677	0.99995620847492	0.00372213277761797	0.0190686192905399	0.995692413269522	4.08747207637606e-07
Actinomycetales	1.55681662056442	1.75650896648709	0.627142462960317	6.36637439898146e-12	0.129697508743782	1.04508512954737e-10	1.86627380216464e-11	0.94412423126784	8.12649729105449e-09	4.22909156503769e-11	0.603093415658586	8.09940975399215e-10	2.47947805144731e-10	0.995692413269522	5.81357113898514e-08
Acidobacteriales	0.392680114910984	0.363108595092894	0	0.00057148702404824	0.925396168838327	0.000352275827861459	0.00570432379394048	0.811854116939502	1.20876499580323e-09	0.00171446107214472	0.99995620847492	0.00121339451818947	0.016075821601105	0.995692413269522	1.02195586008819e-08
Neisseriales	0.498600364385221	0.458795219002829	0.340160869399909	0.29919373156901	0.876912674943401	0.273469195110356	0.581702234797493	0.488873078441374	0.037710568334263	0.339329476047779	0.99995620847492	0.409449297782416	0.676228847952086	0.994363432932635	0.0565658525013944
Rhizobiales	1.08119079517198	1.25992637685261	0.96589395999745	0.0552753879625676	0.117557269082312	0.564504213647453	0.0680877340747428	0.638007045436018	5.09445259177065e-09	0.0969926618965809	0.603093415658586	0.656236148365164	0.126643185379022	0.995692413269522	3.94820075862225e-08
Thermodesulfobacteriales	0.189977399001811	0.136624686153274	0.0447182510934897	0.0477932022306285	0.511568626840392	0.0470742934574132	0.396435663654283	0.0381127056562175	0.845955536647388	0.0871523099499697	0.99995620847492	0.101811843989289	0.526693095997834	0.993339021584748	0.904297297795484
