Eubacteriaceae	3.71465086039377	0.372	3.58744975615349	3.587	0.01392615	0.01347646	0.0449434840909091	0.0398678608333333
Spirochaetaceae	0.296989659794876	0.548	0.540736618170237	0.541	0.002633435	0.0005505136	0.00984073078947369	0.00217147031111111
Beijerinckiaceae	0.58815204261809	0.494	0.513942778308935	0.514	0.252516	0.212929	0.48455772972973	0.391439384615385
Comamonadaceae	0.835701903007996	1.042	0.838409389961224	0.838	0.9841577	0.9372894	0.9841577	0.9682254
Cyclobacteriaceae	0.411967625221809	0.746	0.264806515677909	0.265	0.08363166	0.2345598	0.191543479354839	0.40618892195122
Bifidobacteriaceae	0.418041774516201	0.585	0.272828984625463	0.273	0.03351182	0.06482945	0.0915130469230769	0.153429698333333
Acholeplasmataceae	0.800999617070096	1.032	0.7224079419221	0.722	0.5189025	0.7780164	0.708501490384616	0.952005545762712
Prevotellaceae	2.60451914262238	1.151	3.11124556734459	3.111	0.0002518199	0.0002802087	0.00111745080625	0.00124342610625
Porphyromonadaceae	3.61571464813465	0.579	3.61751650086166	3.618	0.9799079	0.700584	0.9841577	0.893520166071428
Lachnospiraceae	4.29972959689574	0.205	4.27396186616507	4.274	0.3853706	0.6676023	0.635153897727273	0.889761875925926
Lactobacillaceae	1.30069408884435	0.811	1.25085919417628	1.251	0.6342783	0.6767203	0.804174273214286	0.889761875925926
Alcaligenaceae	0.156975889040043	0.319	0.148447123801881	0.148	0.8340116	0.7822109	0.910997286153846	0.952005545762712
Micrococcaceae	0.435178996386882	0.618	0.602789925296755	0.603	0.05155858	0.03661807	0.13557996962963	0.0962919618518519
Actinomycetaceae	0.204980878366164	0.43	0.874022760019647	0.874	1.247175e-11	2.041181e-10	1.26499178571429e-10	2.07034072857143e-09
Staphylococcaceae	0.245066137286005	0.436	0.310606847599212	0.311	0.2420545	0.09047554	0.477385263888889	0.207218172258065
Desulfurobacteriaceae	0.201650203650079	0.305	0.0754960061457844	0.075	0.000158114	0.0007406888	0.000801863857142857	0.00262944524
Acidobacteriaceae	0.235676110121705	0.409	0.149415563101498	0.149	0.06987392	0.1200431	0.165368277333333	0.258274548484848
Coxiellaceae	0.395307730026021	0.887	0.436354841233688	0.436	0.7279791	0.6377812	0.847319936065574	0.889761875925926
Burkholderiaceae	0.626062359912691	0.698	0.749339490431022	0.749	0.1920571	0.229573	0.389601545714286	0.40618892195122
Methylobacteriaceae	0.552994151647525	0.635	0.444132246388137	0.444	0.1619896	0.2021681	0.3382724	0.387944191891892
Nocardiopsaceae	0.194263099542836	0.302	0.168317102396525	0.168	0.4960329	0.6132348	0.70826902	0.889761875925926
Rhodobacteraceae	0.587437080113089	0.913	0.620996180173211	0.621	0.7777738	0.5002709	0.890676448387097	0.789316308888889
Peptostreptococcaceae	2.46490096873335	0.701	2.5243176046072	2.524	0.4655164	0.8435052	0.70322690212766	0.965949503225807
Caldilineaceae	0.243347143546335	0.447	0.134849230776117	0.135	0.02474908	0.155397	0.0702873872	0.315233914285714
Geodermatophilaceae	0.169267966680119	0.273	0.154432342561996	0.154	0.6558859	0.9025916	0.81698068245614	0.9682254
Rhodospirillaceae	0.254403329324474	0.392	0.248096929613384	0.248	0.8979427	0.8893668	0.949091455882353	0.9682254
Segniliparaceae	0.0402420337630765	0.32	0.686818110467169	0.687	5.027181e-13	1.410332e-16	5.94883085e-12	2.00267144e-15
Bacillaceae	2.28296127855447	0.562	3.44452256205716	3.445	5.668006e-29	6.956768e-24	2.01214213e-27	2.46965264e-22
Listeriaceae	0.188522850114075	0.369	0.226194473856817	0.226	0.3936165	0.04853646	0.635153897727273	0.123074595
Veillonellaceae	1.67431395043791	0.916	1.66014916820286	1.66	0.908989	0.7911032	0.949091455882353	0.952005545762712
Coriobacteriaceae	2.90822249526687	0.563	2.6200075214102	2.62	5.58947e-05	1.94577e-05	0.000360774881818182	9.86783357142857e-05
Erysipelotrichaceae	1.28064240997276	0.972	1.40510273154432	1.405	0.3167969	0.249251	0.576732817948718	0.421352880952381
Corynebacteriaceae	0.319539876571151	0.537	1.55425142726525	1.554	7.346667e-24	2.163117e-21	1.73871119e-22	3.839532675e-20
Ruminococcaceae	3.94012575441614	0.51	3.89926154186684	3.899	0.542502	0.6219688	0.726747962264151	0.889761875925926
Flavobacteriaceae	2.44981757923063	0.88	2.07073663258558	2.071	0.0003038848	6.226984e-07	0.00126916592941176	4.42115864e-06
Fibrobacteraceae	0.95511995192608	0.739	0.862729066927008	0.863	0.342343	0.3095346	0.580979645238095	0.499476286363636
Geobacteraceae	2.33337861994204	0.628	2.02919483873792	2.029	8.459824e-05	5.99828e-06	0.000462036541538462	3.27598369230769e-05
Rikenellaceae	3.02278160843026	0.716	2.62776008255564	2.628	6.847167e-05	2.014837e-06	0.0004051240475	1.3004857e-05
Peptococcaceae	1.33866892999682	0.713	1.17663097635711	1.177	0.05824762	0.05926928	0.147699322142857	0.145107547586207
Mycoplasmataceae	0.200010712640198	0.371	0.158265941170451	0.158	0.3357974	0.5362901	0.580979645238095	0.827752110869565
Streptococcaceae	2.79599678725287	0.754	2.83627309714176	2.836	0.6782068	0.639927	0.830218668965517	0.889761875925926
Saprospiraceae	0.421826484226809	0.701	0.406251472487785	0.406	0.8583392	0.9353275	0.923364896969697	0.9682254
Blattabacteriaceae	0.545484295589389	0.721	0.487416861545628	0.487	0.4924604	0.8186294	0.70826902	0.954601634426229
Propionibacteriaceae	0.229664293261542	0.432	0.337117324008079	0.337	0.06132924	0.01597726	0.150150897931034	0.0453754184
