Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Halanaerobiales	0.141	0.205	0.174	0.297	0	0	0.0295099475859677	0.757876597394471	0.0431565714233917	0.0297642860887363	0.32335039583453	0.0190390162710288	0.0397480926668136	0.99995620847492	0.0678174693796155	0.0436542862634799	0.972190562078386	0.0237089636582623
Desulfovibrionales	1.234	0.414	1.301	0.525	1.269	0.22	0.753053075725677	0.74465208133566	0.95033222001467	0.969046006506266	0.742046709394734	1.06311806922673e-13	0.753053075725677	0.99995620847492	0.980030101890129	0.983954406606363	0.995692413269522	7.01657925689642e-12
Selenomonadales	1.51	0.639	1.418	0.883	0.267	0.436	1.75940630776274e-09	0.79977891468116	7.86354203974327e-10	7.49012594614129e-07	0.470851789775812	1.27678628997228e-08	6.83063625366709e-09	0.99995620847492	3.99225980479273e-09	3.53105937460947e-06	0.972190562078386	5.97234985152604e-08
Spirochaetales	0.941	0.379	1.127	0.492	0.876	0.37	0.0636127825238821	0.0824906120918796	0.824457953538854	0.120446302347993	0.69307046499272	2.36183724263347e-07	0.0792159178599286	0.340273774879003	0.901290904662884	0.162233794999338	0.995692413269522	7.79406290069046e-07
Deferribacterales	0.138	0.211	0.1	0.178	0	0	0.0286334928616296	0.617913878779664	0.023754242487157	0.230420756996118	0.530285761133665	0.0121839060389821	0.0393710526847408	0.99995620847492	0.0412573685303253	0.271567320745425	0.972190562078386	0.0154641884340927
Methylophilales	0.185	0.253	0.258	0.372	0	0	0.00878034219603993	0.408809927827241	0.028563682268796	0.00658901498798536	0.0807831156192041	0.00210172143550207	0.0134768043008985	0.99995620847492	0.0483385392241163	0.0124249996916295	0.909564051215614	0.00338325889617406
Deinococcales	0.465	0.375	0.487	0.422	0	0	1.862275363326e-05	0.959039166569025	1.6545000465884e-05	0.000114621642331003	0.804432192478407	1.35735223898319e-08	4.5681084699487e-05	0.99995620847492	4.54987512811811e-05	0.000328914277993313	0.995692413269522	5.97234985152604e-08
Hydrogenophilales	0.135	0.233	0.137	0.295	0	0	0.093850728971795	0.999576536022779	0.0827338758820447	0.150749346247747	0.186378496108582	0.0065490834035558	0.108669265125236	0.99995620847492	0.111437465473775	0.19508738926179	0.972190562078386	0.00882121438029964
Chromatiales	0.539	0.366	0.555	0.425	0.024	0.095	1.655380644675e-06	0.975072114796501	1.37714060222116e-06	1.8726198489416e-05	0.512473484489051	1.05942552116823e-06	5.2026248832643e-06	0.99995620847492	5.04951554147759e-06	6.50489000158662e-05	0.972190562078386	3.04009062596102e-06
Coriobacteriales	2.253	0.559	1.986	0.659	0.632	0.504	1.78964217594474e-18	0.0774630311419827	2.38697950294409e-14	1.39332989590457e-11	0.0964689145228681	1.24946891792794e-05	1.47645479515441e-17	0.340273774879003	2.27151630838307e-13	1.53266288549503e-10	0.909564051215614	3.05425735493496e-05
Unclassified	2.97	0.122	2.959	0.149	2.272	0.127	1.1325610623118e-42	0.920024100500556	1.66533453693773e-15	1.66533453693773e-15	0.308600911846666	0.348633996634399	7.47490301125785e-41	0.99995620847492	3.66373598126302e-14	4.15223411209809e-14	0.972190562078386	0.379475772648589
Alteromonadales	4.834	0.161	4.792	0.271	5.064	0.009	5.69595900804532e-06	0.513153196991187	1.52188992230684e-05	1.04237294279441e-05	0.421421666271766	6.23864002422501e-10	1.56638872721246e-05	0.99995620847492	4.36716238575006e-05	3.82203412357951e-05	0.972190562078386	4.57500268443167e-09
