Proteobacteria	3.36124682653209	0.462	3.46338419110286	3.463	0.05924409	0.03118608	0.152341945714286	0.09355824
Deinococcus.Thermus	0.26072376813484	0.41	1.59138421696018	1.591	1.684429e-30	2.573672e-26	3.0319722e-29	4.6326096e-25
Thermotogae	0.398285733944213	0.561	0.393445957763421	0.393	0.9466917	0.9682254	0.9466917	0.9682254
Elusimicrobia	0.171963832547491	0.379	0.235636487706707	0.236	0.1992398	0.06621372	0.35863164	0.170263851428571
Bacteroidetes	4.74115866939021	0.21	4.71020724960435	4.71	0.2371719	0.1336742	0.388099472727273	0.24061356
Tenericutes	1.12584688725031	1.039	1.06442751288657	1.064	0.6175933	0.7531039	0.794048528571429	0.8472418875
Firmicutes	4.81551173322957	0.142	4.85022714625733	4.85	0.04982018	0.1127746	0.14946054	0.2402982
Verrucomicrobia	1.57984311769365	1.184	1.22281472986102	1.223	0.01401009	0.01851535	0.050436324	0.06665526
Cyanobacteria	1.00597126180273	0.65	1.034635649127	1.035	0.729534	0.5854737	0.8754408	0.7527519
Actinobacteria	3.11645740963595	0.414	3.12952497131186	3.13	0.8007996	0.6853927	0.90089955	0.82247124
Chloroflexi	0.363655457075054	0.485	0.267530129547774	0.268	0.07906194	0.3110743	0.15812388	0.430718261538462
Chlorobi	0.295949555809314	0.659	0.403686442274186	0.404	0.2617425	0.2627079	0.39261375	0.429885654545455
Fibrobacteres	0.95511995192608	0.739	0.862729066927008	0.863	0.342343	0.3095346	0.474013384615385	0.430718261538462
Fusobacteria	0.504206149229102	0.902	1.0683080964129	1.068	1.366599e-05	1.756683e-07	0.00012299391	1.5810147e-06
Acidobacteria	0.249720402605344	0.413	0.161981557071702	0.162	0.07041481	0.1201491	0.15812388	0.2402982
Unclassified	3.97782420274827	0.298	3.98456857345903	3.985	0.8529834	0.9664173	0.903158894117647	0.9682254
Spirochaetes	0.296989659794876	0.548	0.54807796765093	0.548	0.001942199	0.0003463447	0.0087398955	0.0020780682
Aquificae	0.315362544874559	0.375	0.158840894745888	0.159	0.0002883233	0.001164365	0.0017299398	0.0052396425
