Pseudomonadales	0.171327250103093	0.368	1.03233509657853	1.032	1.371926e-19	5.406988e-19	2.743852e-18	1.0813976e-17
Burkholderiales	1.74638130927633	0.995	1.79775990016802	1.798	0.6837386	0.6929108	0.781415542857143	0.815189176470588
Campylobacterales	0.484866100287442	0.57	1.5160683293527	1.516	2.685103e-16	2.108548e-13	3.58013733333333e-15	2.108548e-12
Thermotogales	0.398285733944213	0.561	0.393445957763421	0.393	0.9466917	0.9682254	0.9466917	0.9682254
Mycoplasmatales	0.200010712640198	0.371	0.158265941170451	0.158	0.3357974	0.5362901	0.507174814814815	0.702226709677419
Bacillales	3.01152376862744	0.515	3.65108387408879	3.651	6.02623e-16	1.370658e-14	6.02623e-15	1.827544e-13
Enterobacteriales	1.63539448522815	1.02	2.24505736121521	2.245	5.784738e-06	3.244952e-06	3.856492e-05	1.622476e-05
Bifidobacteriales	0.418041774516201	0.585	0.272828984625463	0.273	0.03351182	0.06482945	0.08377955	0.162073625
Lactobacillales	2.92432005610356	0.665	2.93150172321234	2.932	0.9348505	0.8274329	0.9466917	0.919369888888889
Thermales	0.207945921732677	0.392	1.58505848633053	1.585	9.255442e-32	6.259436e-28	3.7021768e-30	2.5037744e-26
Thermoanaerobacterales	0.240655072771291	0.504	0.349229416752481	0.349	0.09943394	0.0107139	0.209334610526316	0.0306111428571429
Desulfuromonadales	2.33341524768272	0.628	2.02919483873792	2.029	8.447499e-05	5.99828e-06	0.0003754444	2.66590222222222e-05
Dehalococcoidales	0.151055914916945	0.297	0.142791542221236	0.143	0.8220676	0.9506262	0.865334315789474	0.9682254
Sphingobacteriales	0.512506243705856	0.7	0.55306639483389	0.553	0.6485228	0.5442257	0.762968	0.702226709677419
Fibrobacterales	0.95511995192608	0.739	0.862729066927008	0.863	0.342343	0.3095346	0.507174814814815	0.476207076923077
Acholeplasmatales	0.800999617070096	1.032	0.7224079419221	0.722	0.5189025	0.7780164	0.669551612903226	0.8891616
Cytophagales	0.470295102844044	0.741	0.358724476667011	0.359	0.1891909	0.6346005	0.360363619047619	0.793250625
Bacteroidales	4.72421888361305	0.219	4.69827378818384	4.698	0.3361601	0.2015683	0.507174814814815	0.366487818181818
Pasteurellales	0.558845653954536	0.803	0.533314847872636	0.533	0.799043	0.9111563	0.86383027027027	0.959111894736842
Clostridiales	4.72850460493159	0.157	4.71488656251912	4.715	0.5140435	0.4975745	0.669551612903226	0.690028827586207
Flavobacteriales	2.50154093667583	0.869	2.12149767395365	2.121	0.0001845058	1.554724e-07	0.000670930181818182	1.171122e-06
Actinomycetales	2.34544734304679	0.477	2.73623601586045	2.736	3.634427e-08	8.236263e-07	2.9075416e-07	4.706436e-06
Acidobacteriales	0.235676110121705	0.409	0.149415563101498	0.149	0.06987392	0.1200431	0.164409223529412	0.282454352941176
Neisseriales	0.235004741093537	0.5	0.290267257042629	0.29	0.4515092	0.8583487	0.645013142857143	0.927944540540541
Rhodospirillales	0.28774474471759	0.419	0.31702555187682	0.317	0.575287	0.340582	0.697317575757576	0.504565925925926
Rhizobiales	1.07044905336166	0.591	0.942808938181996	0.943	0.09800768	0.1522081	0.209334610526316	0.295994285714286
Desulfurobacteriales	0.201650203650079	0.305	0.0754960061457844	0.075	0.000158114	0.0007406888	0.000632456	0.00246896266666667
Desulfovibrionales	1.3277457893117	0.965	1.13451412907951	1.135	0.1188916	0.1326359	0.2377832	0.294746444444444
Selenomonadales	3.18290685908203	0.71	2.97201335155974	2.972	0.01545836	0.001126644	0.0475641846153846	0.00346659692307692
Rhodobacterales	0.587437080113089	0.913	0.620996180173211	0.621	0.7777738	0.5002709	0.86383027027027	0.690028827586207
Spirochaetales	0.296989659794876	0.548	0.54807796765093	0.548	0.001942199	0.0003463447	0.00647399666666667	0.00125943527272727
Legionellales	0.401593901134664	0.886	0.481406387750098	0.481	0.4973322	0.1505357	0.669551612903226	0.295994285714286
Fusobacteriales	0.504206149229102	0.902	1.0683080964129	1.068	1.366599e-05	1.756683e-07	7.80913714285714e-05	1.171122e-06
Chromatiales	0.737202923811013	0.669	0.689047896354289	0.689	0.5677218	0.6724268	0.697317575757576	0.815062787878788
Coriobacteriales	2.90822249526687	0.563	2.6200075214102	2.62	5.58947e-05	1.94577e-05	0.0002794735	7.78308e-05
Verrucomicrobiales	1.5448029175026	1.213	1.19516111420473	1.195	0.01844699	0.02314658	0.0527056857142857	0.0617242133333333
Erysipelotrichales	1.28064240997276	0.972	1.40510273154432	1.405	0.3167969	0.249251	0.507174814814815	0.43348
Unclassified	4.17226504060795	0.243	4.1324665173184	4.132	0.2033993	0.2724401	0.369816909090909	0.43590416
Caldilineales	0.243347143546335	0.447	0.134849230776117	0.135	0.02474908	0.155397	0.0659975466666667	0.295994285714286
Chlorobiales	0.295949555809314	0.659	0.403686442274186	0.404	0.2617425	0.2627079	0.455204347826087	0.43590416
