Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	38.5016963364087	1.31686405692121e-19	0.297336757036422	7.21263552810969e-13
MDS2	10.5273081548412	7.45461415054838e-16	0.250166533199974	1.29288818107359e-09
MDS3	8.93364745185195	0.000306076749695778	0.534507704555157	2.05195804601686e-11
MDS4	6.38544525264104	1.014275669689e-05	0.343298565434788	1.48585744536244e-06
MDS5	5.02166250205881	0.0236822124222552	0.468028038661149	0.00305851449398732
MDS6	3.62950145619115	3.41132823839758e-05	0.938987809632653	1.42653661258972e-05
MDS7	2.5700937247759	0.331886003629131	0.988093747022982	7.30108453940009e-09
MDS8	2.06717256606293	0.12518022730917	0.414904097840112	0.0511878332384973
